"Dannevirkegade 10, 1. tv, 1763 København V"
"Dannevirkegade 10, 2. th, 1763 København V"
"Dannevirkegade 10, 2. tv, 1763 København V"
"Dannevirkegade 10, 3. th, 1763 København V"
"Dannevirkegade 10, 3. tv, 1763 København V"
"Dannevirkegade 10, 4. th, 1763 København V"
"Dannevirkegade 10, 4. tv, 1763 København V"
"Dannevirkegade 10, 5., 1763 København V"
"Dannevirkegade 11, st. th, 1763 København V"
"Dannevirkegade 11, st. tv, 1763 København V"
"Dannevirkegade 11, 1. th, 1763 København V"
"Dannevirkegade 11, 1. tv, 1763 København V"
"Dannevirkegade 11, 2. th, 1763 København V"
"Dannevirkegade 11, 2. tv, 1763 København V"
"Dannevirkegade 11, 3. th, 1763 København V"
"Dannevirkegade 11, 3. tv, 1763 København V"
"Dannevirkegade 11, 4. th, 1763 København V"
"Dannevirkegade 11, 4. tv, 1763 København V"
"Dannevirkegade 12, st. th, 1763 København V"
"Dannevirkegade 12, st. tv, 1763 København V"
"Dannevirkegade 12, 1. th, 1763 København V"
"Dannevirkegade 12, 1. tv, 1763 København V"
"Dannevirkegade 12, 2. th, 1763 København V"
"Dannevirkegade 12, 2. tv, 1763 København V"
"Dannevirkegade 12, 4. th, 1763 København V"
"Dannevirkegade 12, 4. tv, 1763 København V"
"Dannevirkegade 12, 5. th, 1763 København V"
"Dannevirkegade 12, 5. tv, 1763 København V"
"Dannevirkegade 13, st. th, 1763 København V"
"Dannevirkegade 13, st. tv, 1763 København V"
"Dannevirkegade 13, 1. th, 1763 København V"
"Dannevirkegade 13, 1. tv, 1763 København V"
"Dannevirkegade 13, 2. th, 1763 København V"
"Dannevirkegade 13, 2. tv, 1763 København V"
"Dannevirkegade 13, 3. th, 1763 København V"
"Dannevirkegade 13, 3. tv, 1763 København V"
"Dannevirkegade 13, 4. th, 1763 København V"
"Dannevirkegade 13, 4. tv, 1763 København V"
"Dannevirkegade 14, st. th, 1763 København V"
"Dannevirkegade 14, st. tv, 1763 København V"
"Dannevirkegade 14, 1. th, 1763 København V"
"Dannevirkegade 14, 1. tv, 1763 København V"
"Dannevirkegade 14, 2. th, 1763 København V"
"Dannevirkegade 14, 2. tv, 1763 København V"
"Dannevirkegade 14, 3. th, 1763 København V"
"Dannevirkegade 14, 4. th, 1763 København V"
"Dannevirkegade 14, 4. tv, 1763 København V"
"Dannevirkegade 16, st. th, 1763 København V"
"Dannevirkegade 16, st. tv, 1763 København V"
"Dannevirkegade 16, 1. th, 1763 København V"
"Dannevirkegade 16, 1. tv, 1763 København V"
"Dannevirkegade 16, 2. th, 1763 København V"
"Dannevirkegade 16, 2. tv, 1763 København V"
"Dannevirkegade 16, 3. th, 1763 København V"
"Dannevirkegade 16, 3. tv, 1763 København V"
"Dannevirkegade 16, 4. th, 1763 København V"
"Dannevirkegade 16, 4. tv, 1763 København V"
"Dannevirkegade 16, 5., 1763 København V"
"Dannevirkegade 18, st., 1763 København V"
"Dannevirkegade 18, 1. th, 1763 København V"
"Dannevirkegade 18, 1. tv, 1763 København V"
"Dannevirkegade 18, 2. th, 1763 København V"
"Dannevirkegade 18, 2. tv, 1763 København V"
"Dannevirkegade 18, 3. th, 1763 København V"
"Dannevirkegade 27, 1763 København V"
"Dannevirkegade 26, 4., 1763 København V"
"Dannevirkegade 14, 1763 København V"
"Dannevirkegade 25, 1763 København V"
"Dannevirkegade 8, 4. tv, 1763 København V"
"Dannevirkegade 8, 3. tv, 1763 København V"
"Dannevirkegade 24, 3. th, 1763 København V"
"Dannevirkegade 14, 3. tv, 1763 København V"
"Dannevirkegade 6, 4. tv, 1763 København V"
"Dannevirkegade 6, 4. th, 1763 København V"
