"Herluf Trolles Gade 12, st. tv, 1052 København K"
"Herluf Trolles Gade 12, 1., 1052 København K"
"Herluf Trolles Gade 18, st. tv, 1052 København K"
"Herluf Trolles Gade 18A, st., 1052 København K"
"Herluf Trolles Gade 18B, st., 1052 København K"
"Herluf Trolles Gade 26A, 5. tv, 1052 København K"
"Herluf Trolles Gade 26A, 5. th, 1052 København K"
"Herluf Trolles Gade 5, kl. th, 1052 København K"
"Herluf Trolles Gade 3, 1052 København K"
"Herluf Trolles Gade 5, st. th, 1052 København K"
"Herluf Trolles Gade 9, 1052 København K"
"Herluf Trolles Gade 9, 1. tv, 1052 København K"
"Herluf Trolles Gade 1, 1052 København K"
"Herluf Trolles Gade 11, 1., 1052 København K"
"Herluf Trolles Gade 11, st., 1052 København K"
"Herluf Trolles Gade 9, 2. th, 1052 København K"
"Herluf Trolles Gade 9, st. tv, 1052 København K"
"Herluf Trolles Gade 22, kl. th, 1052 København K"
"Herluf Trolles Gade 9, 1. th, 1052 København K"
"Herluf Trolles Gade 18A, 1052 København K"
"Herluf Trolles Gade 11, 1052 København K"
"Herluf Trolles Gade 5, 1052 København K"
"Herluf Trolles Gade 6A, 1052 København K"
"Herluf Trolles Gade 22, kl. tv, 1052 København K"
"Herluf Trolles Gade 5, 1. th, 1052 København K"
"Herluf Trolles Gade 18, 1052 København K"
"Herluf Trolles Gade 23, 1052 København K"
"Herluf Trolles Gade 5, 1. tv, 1052 København K"
"Herluf Trolles Gade 5, st. tv, 1052 København K"
"Herluf Trolles Gade 9, 2. tv, 1052 København K"
"Herluf Trolles Gade 28, 1052 København K"
"Herluf Trolles Gade 20, 1052 København K"
"Herluf Trolles Gade 11, 2., 1052 København K"
"Herluf Trolles Gade 9, st. th, 1052 København K"
"Herluf Trolles Gade 25, 1052 København K"
"Herluf Trolles Gade 26A, 1052 København K"
"Herluf Trolles Gade 4, 5., 1052 København K"
"Herluf Trolles Gade 18, 4. th, 1052 København K"
"Herluf Trolles Gade 28, 3. th, 1052 København K"
"Herluf Trolles Gade 18, st., 1052 København K"
"Herluf Trolles Gade 18C, 1052 København K"
"Herluf Trolles Gade 18C, st., 1052 København K"
"Herluf Trolles Gade 18D, st., 1052 København K"
"Harald Landers Gade 7A, 1052 København K"
