"Sankt Knuds Vej 41, 1., 1903 Frederiksberg C"
"Sankt Knuds Vej 22B, 1903 Frederiksberg C"
"Sankt Knuds Vej 15B, 1., 1903 Frederiksberg C"
"Sankt Knuds Vej 13, st., 1903 Frederiksberg C"
"Sankt Knuds Vej 8B, st., 1903 Frederiksberg C"
"Sankt Knuds Vej 8B, 1., 1903 Frederiksberg C"
"Sankt Knuds Vej 41, 1903 Frederiksberg C"
"Sankt Knuds Vej 35, 1903 Frederiksberg C"
"Sankt Knuds Vej 16, 1903 Frederiksberg C"
"Sankt Knuds Vej 32, st., 1903 Frederiksberg C"
"Sankt Knuds Vej 30, 1903 Frederiksberg C"
"Sankt Knuds Vej 21, st., 1903 Frederiksberg C"
"Sankt Knuds Vej 15B, 1903 Frederiksberg C"
"Sankt Knuds Vej 30, 1., 1903 Frederiksberg C"
"Sankt Knuds Vej 36, 1903 Frederiksberg C"
"Sankt Knuds Vej 10C, 1903 Frederiksberg C"
"Sankt Knuds Vej 15, 1903 Frederiksberg C"
"Sankt Knuds Vej 34, 1903 Frederiksberg C"
"Sankt Knuds Vej 41, st., 1903 Frederiksberg C"
"Sankt Knuds Vej 30, st., 1903 Frederiksberg C"
"Sankt Knuds Vej 21, 1., 1903 Frederiksberg C"
"Sankt Knuds Vej 27A, st., 1903 Frederiksberg C"
"Sankt Knuds Vej 6, 1903 Frederiksberg C"
"Sankt Knuds Vej 32, 1903 Frederiksberg C"
"Sankt Knuds Vej 27A, 1., 1903 Frederiksberg C"
"Sankt Knuds Vej 37, 1903 Frederiksberg C"
"Sankt Knuds Vej 31, 1903 Frederiksberg C"
"Sankt Knuds Vej 23A, 1903 Frederiksberg C"
"Sankt Knuds Vej 25, 1903 Frederiksberg C"
"Sankt Knuds Vej 26, 1903 Frederiksberg C"
"Sankt Knuds Vej 22C, 1903 Frederiksberg C"
"Sankt Knuds Vej 4, 1903 Frederiksberg C"
"Sankt Knuds Vej 4, 2. mf, 1903 Frederiksberg C"
"Sankt Knuds Vej 9, 2., 1903 Frederiksberg C"
"Sankt Knuds Vej 19, 1903 Frederiksberg C"
"Sankt Knuds Vej 19, st., 1903 Frederiksberg C"
"Sankt Knuds Vej 5A, 1903 Frederiksberg C"
"Sankt Knuds Vej 19A, 1903 Frederiksberg C"
"Sankt Knuds Vej 19A, 1., 1903 Frederiksberg C"
"Sankt Knuds Vej 32, 2., 1903 Frederiksberg C"
"Sankt Knuds Vej 13, 1903 Frederiksberg C"
"Sankt Knuds Vej 7, 1903 Frederiksberg C"
"Sankt Knuds Vej 37A, 1903 Frederiksberg C"
"Sankt Knuds Vej 23C, 1903 Frederiksberg C"
"Sankt Knuds Vej 22B, st., 1903 Frederiksberg C"
"Sankt Knuds Vej 36, 1. tv, 1903 Frederiksberg C"
"Sankt Knuds Vej 36, 1. th, 1903 Frederiksberg C"
"Sankt Knuds Vej 36, kl., 1903 Frederiksberg C"
"Sankt Knuds Vej 36, 2. tv, 1903 Frederiksberg C"
"Sankt Knuds Vej 36, 2. th, 1903 Frederiksberg C"
"Sankt Knuds Vej 36, 3., 1903 Frederiksberg C"
"Sankt Knuds Vej 10B, st., 1903 Frederiksberg C"
"Sankt Knuds Vej 10B, 1., 1903 Frederiksberg C"
"Sankt Knuds Vej 10B, 2., 1903 Frederiksberg C"
"Sankt Knuds Vej 10, 1903 Frederiksberg C"
