"Langkær 27G, 6100 Haderslev"
"Aarø 141H, 6100 Haderslev"
"Aarø 141K, 6100 Haderslev"
"Aarø 141N, 6100 Haderslev"
"Aarø 141L, 6100 Haderslev"
"Aarø 141M, 6100 Haderslev"
"Louisevej 10, st., 6100 Haderslev"
"Vestvej 11, Fjelstrup, 6100 Haderslev"
"Sønder Ottinggade 28B, 6100 Haderslev"
"Hoptrup Hovedgade 12A, 6100 Haderslev"
"Hoptrup Hovedgade 106, 6100 Haderslev"
"Hoptrup Hovedgade 118, 6100 Haderslev"
"Hoptrup Hovedgade 79, 6100 Haderslev"
"Hoptrup Kirkeby 4, 6100 Haderslev"
"Hoptrup Kirkeby 2, 6100 Haderslev"
"Hoptrup Næsvej 20, 6100 Haderslev"
"Hjortebrovej 44, 1. 4, 6100 Haderslev"
"Barkholt 21, 1., Hejsager, 6100 Haderslev"
"Barkholt 21, st., Hejsager, 6100 Haderslev"
"Vilstrup Bysving 8, st., 6100 Haderslev"
"Vilstrup Bysving 8, 1., 6100 Haderslev"
"Gravene 2B, 6100 Haderslev"
"Aarø Sydstrand 34, 6100 Haderslev"
"Avnøvej 45, Fjelstrup, 6100 Haderslev"
"Kalmargårdparken 1, Marstrup, 6100 Haderslev"
"Klosteret 21A, 6100 Haderslev"
"Klosteret 21B, 6100 Haderslev"
"Parkvej 50, 6100 Haderslev"
"Risager 52, 6100 Haderslev"
"Fjølners Toft 9, st., 6100 Haderslev"
"Bjerning Hovedvej 74, 12a, 6100 Haderslev"
"Bjerning Hovedvej 74, 12, 6100 Haderslev"
"Solsortevej 5, 6100 Haderslev"
"Mælkevejen 15, st., Sandersvig, 6100 Haderslev"
"Sandersvig Strandvej 52, st., Sandersvig, 6100 Haderslev"
"Landgangen 5, 2. tv, 6100 Haderslev"
"Aarøsundvej 75A, 1. th, 6100 Haderslev"
"Aarøsundvej 75A, 1. tv, 6100 Haderslev"
"Aarøsundvej 75A, 2. tv, 6100 Haderslev"
"Aarøsundvej 75A, st. tv, 6100 Haderslev"
"Aarøsundvej 75A, st. th, 6100 Haderslev"
"Aarøsundvej 75A, 2. th, 6100 Haderslev"
"Aarøsundvej 75B, st. th, 6100 Haderslev"
"Aarøsundvej 75B, st. tv, 6100 Haderslev"
"Aarøsundvej 75C, 1. th, 6100 Haderslev"
"Aarøsundvej 75C, 1. tv, 6100 Haderslev"
"Birkelund 32, Vilstrup, 6100 Haderslev"
"Feldumvej 56, 6100 Haderslev"
"Kannikepladsen 6, 1. mf, 6100 Haderslev"
"Kannikepladsen 6, 1. th, 6100 Haderslev"
"Kannikepladsen 6, 2. th, 6100 Haderslev"
"Kannikepladsen 6, 2. tv, 6100 Haderslev"
"Kannikepladsen 6, 2. mf, 6100 Haderslev"
"Kannikepladsen 6, 1. tv, 6100 Haderslev"
"Digevej 6, 6100 Haderslev"
"Landgangen 1, 1. th, 6100 Haderslev"
"Landgangen 1, 1. tv, 6100 Haderslev"
"Landgangen 1, 2. tv, 6100 Haderslev"
"Landgangen 1, st. tv, 6100 Haderslev"
"Landgangen 1, st. th, 6100 Haderslev"
"Landgangen 1, 2. th, 6100 Haderslev"
"Landgangen 2, 6100 Haderslev"
"Landgangen 3, 1. th, 6100 Haderslev"
"Landgangen 3, 1. tv, 6100 Haderslev"
"Landgangen 3, 2. th, 6100 Haderslev"
"Landgangen 3, st. th, 6100 Haderslev"
"Landgangen 3, st. tv, 6100 Haderslev"
"Landgangen 3, 2. tv, 6100 Haderslev"
"Landgangen 4, 6100 Haderslev"
"Landgangen 5, 1. th, 6100 Haderslev"
"Landgangen 5, 1. tv, 6100 Haderslev"
"Landgangen 5, 2. th, 6100 Haderslev"
"Landgangen 5, st. tv, 6100 Haderslev"
"Landgangen 5, st. th, 6100 Haderslev"
"Landgangen 6, 6100 Haderslev"
"Landgangen 7, 1. th, 6100 Haderslev"
"Landgangen 7, 2. tv, 6100 Haderslev"
"Landgangen 7, 1. tv, 6100 Haderslev"
"Landgangen 7, 2. th, 6100 Haderslev"
"Landgangen 7, st. th, 6100 Haderslev"
"Landgangen 7, st. tv, 6100 Haderslev"
"Landgangen 8, 6100 Haderslev"
"Landgangen 10, 6100 Haderslev"
"Landgangen 12, 6100 Haderslev"
"Landgangen 14, 6100 Haderslev"
"Landgangen 16, 6100 Haderslev"
"Landgangen 18, 6100 Haderslev"
"Landgangen 20, 6100 Haderslev"
"Langtoften 28, Fjelstrup, 6100 Haderslev"
"Nørregade 13, 6100 Haderslev"
"Nørregade 13A, 1., 6100 Haderslev"
"Nørregade 13A, 2., 6100 Haderslev"
"Præstegade 5, 6100 Haderslev"
"Starup Fjordvej 35, 6100 Haderslev"
"Øsby Stadionvej 71, Øsby, 6100 Haderslev"
"Øsby Stadionvej 95, Øsby, 6100 Haderslev"
"Storegade 64C, 6100 Haderslev"
"Engkær 42, 6100 Haderslev"
"Eskærhaven 1, 6100 Haderslev"
"Eskærhaven 2, 6100 Haderslev"
"Eskærhaven 3, 6100 Haderslev"
"Eskærhaven 4, 6100 Haderslev"
"Eskærhaven 5, 6100 Haderslev"
"Eskærhaven 6, 6100 Haderslev"
"Eskærhaven 7, 6100 Haderslev"
"Eskærhaven 8, 6100 Haderslev"
"Eskærhaven 9, 6100 Haderslev"
"Eskærhaven 10, 6100 Haderslev"
"Eskærhaven 11, 6100 Haderslev"
"Eskærhaven 12, 6100 Haderslev"
"Gåskærgade 48, 6100 Haderslev"
"Jørlhagevej 12, Ørby, 6100 Haderslev"
"Langelandsvej 40, Starup, 6100 Haderslev"
"Langelandsvej 84, Starup, 6100 Haderslev"
"Lillebro 13, 6100 Haderslev"
"Pilumvej 11, 6100 Haderslev"
"Pilumvej 15, 6100 Haderslev"
"Pilumvej 18, 6100 Haderslev"
"Pilumvej 21, 6100 Haderslev"
"Rosenbakken 68, 6100 Haderslev"
"Sønderballe Hoved 26D, 6100 Haderslev"
"Torvet 12A, 1. th, 6100 Haderslev"
"Torvet 12A, st. 1, 6100 Haderslev"
"Torvet 12A, st. 3, 6100 Haderslev"
"Torvet 12A, st. 4, 6100 Haderslev"
"Torvet 12A, st. 2, 6100 Haderslev"
"Torvet 12A, 1. tv, 6100 Haderslev"
"Tyrsvej 5, 6100 Haderslev"
"Vidarsvej 4, 6100 Haderslev"
"Vilstrup Vestertoft 1, Sdr Vilstrup, 6100 Haderslev"
"Vilstrup Vestertoft 3, Sdr Vilstrup, 6100 Haderslev"
"Vilstrup Vestertoft 5, Sdr Vilstrup, 6100 Haderslev"
"Christian X's Vej 6A, 6100 Haderslev"
"Christian X's Vej 6C, 6100 Haderslev"
"Christian X's Vej 6D, 6100 Haderslev"
"Christian X's Vej 11, 6100 Haderslev"
"Øsbygade 81B, 1. th, 6100 Haderslev"
"Øsbygade 81B, 1. tv, 6100 Haderslev"
"Klosteret 8C, 6100 Haderslev"
"Bredholm 3, 6100 Haderslev"
"Diernæsvej 11A, 6100 Haderslev"
"Ejsbølvej 62B, 6100 Haderslev"
"Engkær 58, 6100 Haderslev"
"Fårehave 207, Aastrup, 6100 Haderslev"
"Gåskærgade 36, 6100 Haderslev"
"Gåskærgade 50, 2., 6100 Haderslev"
"Hejsager Strandby 62, 6100 Haderslev"
"Langelandsvej 73, Starup, 6100 Haderslev"
"Langelandsvej 102, Starup, 6100 Haderslev"
"Lindøvej 43, Starup, 6100 Haderslev"
"Lokesvej 1A, 6100 Haderslev"
"Pilumvej 7, 6100 Haderslev"
"Pilumvej 16, 6100 Haderslev"
"Ribe Landevej 62, st. th, 6100 Haderslev"
"Ribe Landevej 62, 1., 6100 Haderslev"
"Ribe Landevej 62, st. tv, 6100 Haderslev"
"Risager 36, 6100 Haderslev"
"Risager 59, 6100 Haderslev"
"Storegade 81, 3., 6100 Haderslev"
"Sønderhaven 4, 6100 Haderslev"
"Kalmargårdparken 93B, Marstrup, 6100 Haderslev"
"Kelstrupvej 97, Kelstrup Strand, 6100 Haderslev"
"Aastrupvej 37, 1., 6100 Haderslev"
"Aastrupvej 37, st., 6100 Haderslev"
"Erlevvej 46, 6100 Haderslev"
"Langelandsvej 143, Starup, 6100 Haderslev"
"Laurids Skaus Gade 7A, 6100 Haderslev"
"Laurids Skaus Gade 7B, 6100 Haderslev"
"Færgevej 43D, Aarøsund, 6100 Haderslev"
"Ryes Møllevej 45, 6100 Haderslev"
"Solhøj 28, 6100 Haderslev"
"Gammelbrovej 1, Aarøsund, 6100 Haderslev"
"Gammelbyvej 23, Fjelstrup, 6100 Haderslev"
"Grarup Overby 35, 6100 Haderslev"
"Grubesvej 28, Kelstrup, 6100 Haderslev"
"Grubesvej 51, Kelstrup, 6100 Haderslev"
"Grubesvej 30, Kelstrup, 6100 Haderslev"
"Grødebølvej 20, 6100 Haderslev"
"Grønningen 20A, 6100 Haderslev"
"Halkløkke 32, Halk, 6100 Haderslev"
"Halkløkke 30A, Halk, 6100 Haderslev"
"Halkløkke 36, Halk, 6100 Haderslev"
"Halkvej 193, 6100 Haderslev"
"Havbakken 2A, Flovt, 6100 Haderslev"
"Havbakken 2A, st., Flovt, 6100 Haderslev"
"Havbakken 2P, Flovt, 6100 Haderslev"
"Havbakken 10, Flovt, 6100 Haderslev"
"Havbakken 30, Flovt, 6100 Haderslev"
"Havegårdsvej 40, Starup, 6100 Haderslev"
"Havvejen 22, Vilstrup, 6100 Haderslev"
"Havvejen 72A, Vilstrup, 6100 Haderslev"
"Havvejen 70A, Vilstrup, 6100 Haderslev"
"Havvejen 67, Vilstrup, 6100 Haderslev"
"Havvejen 3, Vilstrup, 6100 Haderslev"
"Hejsager Næsvej 111, 6100 Haderslev"
"Hejsager Næsvej 118, 6100 Haderslev"
"Hejsager Strandby 249, 6100 Haderslev"
"Hejsager Strandby 121A, 6100 Haderslev"
"Hejsager Strandby 242, 6100 Haderslev"
"Hejsager Strandby 251, 6100 Haderslev"
"Hejsager Strandvej 258, 6100 Haderslev"
"Hejsager Strandvej 40, Hejsager, 6100 Haderslev"
"Hejsager Strandvej 90, 6100 Haderslev"
"Hejsager Strandvej 300, 6100 Haderslev"
"Hejsager Strandvej 115, 6100 Haderslev"
"Hejsager Østertoft 40, Hejsager, 6100 Haderslev"
"Hoptrup Hovedgade 122, 6100 Haderslev"
"Flovt Havevej 36, st., Flovt, 6100 Haderslev"
"Flovt Havevej 9, st., Flovt, 6100 Haderslev"
"Aabenraavej 14, 1., 6100 Haderslev"
"Aabenraavej 14, 2., 6100 Haderslev"
"Aabenraavej 14, st., 6100 Haderslev"
"Gåsevig 2, Sønderballe, 6100 Haderslev"
"Fårehave 97, Aastrup, 6100 Haderslev"
"Langelandsvej 50, Starup, 6100 Haderslev"
"Langelandsvej 92, Starup, 6100 Haderslev"
"Langelandsvej 101, Starup, 6100 Haderslev"
"Lillebro 8, 6100 Haderslev"
"Pilumvej 12, 6100 Haderslev"
"Vidarsvej 8, 6100 Haderslev"
"Vinkelvej 15, 6100 Haderslev"
"Vinkelvej 15A, 6100 Haderslev"
"Øsby Stadionvej 79, Øsby, 6100 Haderslev"
"Færgevej 12A, Aarøsund, 6100 Haderslev"
"Havbakken 2D, Flovt, 6100 Haderslev"
"Hoptrup Hovedgade 60, 6100 Haderslev"
"Vilstrup Bysving 8C, 6100 Haderslev"
"Vilstrup Bysving 8B, 6100 Haderslev"
"Vilstrup Bysving 8D, 6100 Haderslev"
"Vilstrup Bysving 8E, 6100 Haderslev"
"Vilstrup Bysving 8F, 6100 Haderslev"
"Storegade 1, 1., 6100 Haderslev"
"Langelandsvej 181, Starup, 6100 Haderslev"
"Risager 2, 6100 Haderslev"
"Risager 4, 6100 Haderslev"
"Risager 6, 6100 Haderslev"
"Risager 8, 6100 Haderslev"
"Risager 10, 6100 Haderslev"
"Risager 12, 6100 Haderslev"
"Risager 14, 6100 Haderslev"
"Risager 16, 6100 Haderslev"
"Risager 18, 6100 Haderslev"
"Risager 20, 6100 Haderslev"
"Risager 22, 6100 Haderslev"
"Risager 24, 6100 Haderslev"
"Risager 26, 6100 Haderslev"
"Risager 28, 6100 Haderslev"
"Tyrsvej 1, 6100 Haderslev"
"Ved Stormklokken 2, 6100 Haderslev"
"Vidarsvej 3, 6100 Haderslev"
"Bragesvej 23, 6100 Haderslev"
"Fjelstrup Nørrevej 4A, Fjelstrup, 6100 Haderslev"
"Kløverbakken 8, 6100 Haderslev"
"Langelandsvej 68, Starup, 6100 Haderslev"
"Aabenraavej 21, 6100 Haderslev"
"Badstuegade 14, 6100 Haderslev"
"Bredholm 4, 6100 Haderslev"
"Clausensvej 12, 6100 Haderslev"
"Hertug Valdemars Vej 26, 6100 Haderslev"
"Kløverbakken 10, 6100 Haderslev"
"Langelandsvej 115, Starup, 6100 Haderslev"
"Langelandsvej 139, Starup, 6100 Haderslev"
"Langelandsvej 153, Starup, 6100 Haderslev"
"Langelandsvej 155, Starup, 6100 Haderslev"
"Langelandsvej 159, Starup, 6100 Haderslev"
"Louisevej 7A, 6100 Haderslev"
"Melskov Alle 10, 6100 Haderslev"
"Raade Strandpark 14, 6100 Haderslev"
"Sønder Ottinggade 2C, st. th, 6100 Haderslev"
"Sønder Ottinggade 2C, st. tv, 6100 Haderslev"
"Varbergvej 51, 6100 Haderslev"
"Solhøj 1, 6100 Haderslev"
"Troldhøj 41, 6100 Haderslev"
"Vilstrup Vestertoft 13, Sdr Vilstrup, 6100 Haderslev"
"Øsby Stadionvej 75, Øsby, 6100 Haderslev"
"Vadgyde 12, Sillerup, 6100 Haderslev"
"Elmevej 3, 2., 6100 Haderslev"
"Langelandsvej 44, Starup, 6100 Haderslev"
"Langelandsvej 88, Starup, 6100 Haderslev"
"Langelandsvej 90, Starup, 6100 Haderslev"
"Langelandsvej 100, Starup, 6100 Haderslev"
"Moltrupvej 2B, 6100 Haderslev"
"Tyrsvej 13, 6100 Haderslev"
"Vidarsvej 10, 6100 Haderslev"
"Øsby Stadionvej 83, Øsby, 6100 Haderslev"
"Aarøsundvej 33, 6100 Haderslev"
"Elmevej 12, 1., 6100 Haderslev"
"Hejsager Strandvej 159A, 6100 Haderslev"
"Kløverbakken 5, 6100 Haderslev"
"Kløverbakken 7, 6100 Haderslev"
"Langelandsvej 113, Starup, 6100 Haderslev"
"Langelandsvej 133, Starup, 6100 Haderslev"
"Langelandsvej 135, Starup, 6100 Haderslev"
"Langelandsvej 151, Starup, 6100 Haderslev"
"Pilumvej 17, 6100 Haderslev"
"Ravnstoft 2, 6100 Haderslev"
"Rolighedsvej 17, 6100 Haderslev"
"Simmerstedvej 1A, 1., 6100 Haderslev"
"Simmerstedvej 1A, 2., 6100 Haderslev"
"Simmerstedvej 1B, 1., 6100 Haderslev"
"Simmerstedvej 1B, kl., 6100 Haderslev"
"Simmerstedvej 1B, st., 6100 Haderslev"
"Simmerstedvej 1C, 6100 Haderslev"
"Simmerstedvej 1E, 2., 6100 Haderslev"
"Storegade 4, 1., 6100 Haderslev"
"Sønderbro 6B, 1. th, 6100 Haderslev"
"Sønderbro 6B, 1. tv, 6100 Haderslev"
"Bøgely 20, 6100 Haderslev"
"Hoptrup Hovedgade 98, st., 6100 Haderslev"
"Kelstruphave 104A, 6100 Haderslev"
"Kløverbakken 4, 6100 Haderslev"
"Kløverbakken 9, 6100 Haderslev"
"Langelandsvej 70, Starup, 6100 Haderslev"
"Langelandsvej 123, Starup, 6100 Haderslev"
"Langelandsvej 147, Starup, 6100 Haderslev"
"Lillebro 5, 6100 Haderslev"
"Stengryde 3, Marstrup, 6100 Haderslev"
"Troldhøj 49, 6100 Haderslev"
"Vilstrup Vestertoft 8, Sdr Vilstrup, 6100 Haderslev"
"Færgevej 80, Aarøsund, 6100 Haderslev"
"Finlandsvej 2, mf, 6100 Haderslev"
"Finlandsvej 2, tv, 6100 Haderslev"
"Finlandsvej 2, th, 6100 Haderslev"
"Lindøvej 150, Starup, 6100 Haderslev"
"Mellemgade 8, 1. th, 6100 Haderslev"
"Mellemgade 8, 2., 6100 Haderslev"
"Mellemgade 8, 1. tv, 6100 Haderslev"
"Mellemgade 8A, 6100 Haderslev"
"Mellemgade 8B, 6100 Haderslev"
"Norgesvej 41, 6100 Haderslev"
"Nørregade 16A, 3., 6100 Haderslev"
"Ravnstoft 6, 6100 Haderslev"
"Solbæk 55, Hejsager, 6100 Haderslev"
"Sydhavnsvej 38, 6100 Haderslev"
"Ægirsvej 9, 6100 Haderslev"
"Øsbygade 68A, 6100 Haderslev"
"Øsbygade 68B, 6100 Haderslev"
"Øsbygade 68C, 6100 Haderslev"
"Øsbygade 68D, 6100 Haderslev"
"Øsbygade 68E, 6100 Haderslev"
"Øsbygade 68F, 6100 Haderslev"
"Øsbygade 68G, 6100 Haderslev"
"Øsbygade 68H, 6100 Haderslev"
"Østergade 44, st., 6100 Haderslev"
"Hirsevej 4, 6100 Haderslev"
"Kløverbakken 1, 6100 Haderslev"
"Kløverbakken 3, 6100 Haderslev"
"Kløverbakken 12, 6100 Haderslev"
"Kløverbakken 19, 6100 Haderslev"
"Langelandsvej 60, Starup, 6100 Haderslev"
"Langelandsvej 103, Starup, 6100 Haderslev"
"Langelandsvej 175, Starup, 6100 Haderslev"
"Lillebro 4, 6100 Haderslev"
"Risager 48, 6100 Haderslev"
"Simmerstedvej 208A, 1., 6100 Haderslev"
"Simmerstedvej 208A, st., 6100 Haderslev"
"Troldhøj 3, 6100 Haderslev"
"Troldhøj 11, 6100 Haderslev"
"Troldhøj 23, 6100 Haderslev"
"Vidarsvej 12, 6100 Haderslev"
"Vilstrup Vestertoft 14, Sdr Vilstrup, 6100 Haderslev"
"Kelstrup Strandvænge 1, Kelstrup, 6100 Haderslev"
"Kelstrup Strandvænge 2, Kelstrup, 6100 Haderslev"
"Kelstrup Strandvænge 3, Kelstrup, 6100 Haderslev"
"Kelstrup Strandvænge 4, Kelstrup, 6100 Haderslev"
"Kelstrup Strandvænge 5, Kelstrup, 6100 Haderslev"
"Kelstrup Strandvænge 6, Kelstrup, 6100 Haderslev"
"Bredholm 2, 6100 Haderslev"
"Engkær 34, 6100 Haderslev"
"Havvejen 98A, Vilstrup, 6100 Haderslev"
"Langelandsvej 42, Starup, 6100 Haderslev"
