"H.V. Nyholms Vej 2, 3. 3, 2000 Frederiksberg"
"H.V. Nyholms Vej 2, 3. 2, 2000 Frederiksberg"
"H.V. Nyholms Vej 2, 3. 1, 2000 Frederiksberg"
"H.V. Nyholms Vej 2, 5. tv, 2000 Frederiksberg"
"Rolfsvej 8, st., 2000 Frederiksberg"
"Finsensvej 59, 2., 2000 Frederiksberg"
"Godthåbsvej 24A, 1., 2000 Frederiksberg"
"Nimbusparken 11, st. tv, 2000 Frederiksberg"
"Nimbusparken 11, 1. mf, 2000 Frederiksberg"
"Nimbusparken 11, 3. tv, 2000 Frederiksberg"
"Nimbusparken 11, 3. mf, 2000 Frederiksberg"
"Nimbusparken 11, 4. tv, 2000 Frederiksberg"
"Nimbusparken 11, 2. th, 2000 Frederiksberg"
"Nimbusparken 11, 1. tv, 2000 Frederiksberg"
"Nimbusparken 11, st. th, 2000 Frederiksberg"
"Nimbusparken 11, 4. th, 2000 Frederiksberg"
"Nimbusparken 11, 3. th, 2000 Frederiksberg"
"Nimbusparken 11, 2. tv, 2000 Frederiksberg"
"Nimbusparken 11, 2. mf, 2000 Frederiksberg"
"Nimbusparken 11, 1. th, 2000 Frederiksberg"
"Nimbusparken 13, 4. mf, 2000 Frederiksberg"
"Nimbusparken 13, 1. tv, 2000 Frederiksberg"
"Nimbusparken 13, st. th, 2000 Frederiksberg"
"Nimbusparken 13, 4. th, 2000 Frederiksberg"
"Nimbusparken 13, 3. tv, 2000 Frederiksberg"
"Nimbusparken 13, 3. mf, 2000 Frederiksberg"
"Nimbusparken 13, 2. th, 2000 Frederiksberg"
"Nimbusparken 13, 1. mf, 2000 Frederiksberg"
"Nimbusparken 13, 1. th, 2000 Frederiksberg"
"Nimbusparken 13, 2. mf, 2000 Frederiksberg"
"Nimbusparken 13, 3. th, 2000 Frederiksberg"
"Nimbusparken 13, 2. tv, 2000 Frederiksberg"
"Nimbusparken 13, 4. tv, 2000 Frederiksberg"
"Nimbusparken 13, st. tv, 2000 Frederiksberg"
"Nimbusparken 15, 2000 Frederiksberg"
"Duevej 120C, 2000 Frederiksberg"
"Flintholm Alle 26, 1., 2000 Frederiksberg"
"Flintholm Alle 26, 3., 2000 Frederiksberg"
"Flintholm Alle 26, 5., 2000 Frederiksberg"
"Flintholm Alle 26, st., 2000 Frederiksberg"
"Flintholm Alle 26, kl. 2, 2000 Frederiksberg"
"Flintholm Alle 26, kl. 1, 2000 Frederiksberg"
"Flintholm Alle 26, 4., 2000 Frederiksberg"
"Flintholm Alle 26, 2., 2000 Frederiksberg"
"Pile Alle 53, st. tv, 2000 Frederiksberg"
"Pile Alle 53, st. th, 2000 Frederiksberg"
"Howitzvej 51A, 3. th, 2000 Frederiksberg"
"Dalgas Boulevard 44, 2000 Frederiksberg"
"Howitzvej 49, 1. th, 2000 Frederiksberg"
"Howitzvej 49, 4., 2000 Frederiksberg"
"Howitzvej 49, st. tv, 2000 Frederiksberg"
"Howitzvej 49, st. th, 2000 Frederiksberg"
"Howitzvej 49, 3. tv, 2000 Frederiksberg"
"Howitzvej 49, 2. tv, 2000 Frederiksberg"
"Howitzvej 49, 3. th, 2000 Frederiksberg"
"Howitzvej 49, 2. th, 2000 Frederiksberg"
"Howitzvej 49, 1. tv, 2000 Frederiksberg"
"Howitzvej 51A, 1. th, 2000 Frederiksberg"
"Howitzvej 51A, 3. tv, 2000 Frederiksberg"
"Howitzvej 51A, 4. tv, 2000 Frederiksberg"
"Howitzvej 51A, st., 2000 Frederiksberg"
"Howitzvej 51A, 4. th, 2000 Frederiksberg"
"Howitzvej 51A, 1. tv, 2000 Frederiksberg"
"Howitzvej 51A, 2. tv, 2000 Frederiksberg"
"Howitzvej 51A, 2. th, 2000 Frederiksberg"
"Howitzvej 51B, 1. th, 2000 Frederiksberg"
"Howitzvej 51B, 4., 2000 Frederiksberg"
"Howitzvej 51B, st. tv, 2000 Frederiksberg"
"Howitzvej 51B, st. th, 2000 Frederiksberg"
"Howitzvej 51B, 3. tv, 2000 Frederiksberg"
"Howitzvej 51B, 2. th, 2000 Frederiksberg"
"Howitzvej 51B, 2. tv, 2000 Frederiksberg"
"Howitzvej 51B, 3. th, 2000 Frederiksberg"
"Howitzvej 51B, 1. tv, 2000 Frederiksberg"
"Sprogøvej 6, 4. tv, 2000 Frederiksberg"
"Dirch Passers Allé 13, 5. tv, 2000 Frederiksberg"
"Folkvarsvej 4, 2., 2000 Frederiksberg"
"Chr. Paulsens Vej 15, 2000 Frederiksberg"
"Frederiksvej 13, 3., 2000 Frederiksberg"
"Godthåbsvej 58A, 2000 Frederiksberg"
"Falkoner Alle 7, 2000 Frederiksberg"
"Falkoner Alle 9, 2000 Frederiksberg"
"Falkoner Alle 18B, 1. th, 2000 Frederiksberg"
"Falkoner Alle 18B, 1. tv, 2000 Frederiksberg"
"Falkoner Alle 18B, 2. th, 2000 Frederiksberg"
"Falkoner Alle 18B, 3. th, 2000 Frederiksberg"
"Falkoner Alle 18B, 4. th, 2000 Frederiksberg"
"Falkoner Alle 18B, st. 3, 2000 Frederiksberg"
"Falkoner Alle 18B, st. 2, 2000 Frederiksberg"
"Falkoner Alle 18B, st. 1, 2000 Frederiksberg"
"Falkoner Alle 18B, 5. tv, 2000 Frederiksberg"
"Falkoner Alle 18B, 5. th, 2000 Frederiksberg"
"Falkoner Alle 18B, 4. tv, 2000 Frederiksberg"
"Falkoner Alle 18B, 3. tv, 2000 Frederiksberg"
"Falkoner Alle 18B, 2. tv, 2000 Frederiksberg"
"Sylows Plads 2, kl, 2000 Frederiksberg"
"Sylows Alle 13, 1. 17, 2000 Frederiksberg"
"Sylows Alle 13, 1. 15, 2000 Frederiksberg"
"Sylows Alle 13, 1. 14, 2000 Frederiksberg"
"Sylows Alle 13, 1. 3, 2000 Frederiksberg"
"Sylows Alle 13, 1. 28, 2000 Frederiksberg"
"Sylows Alle 13, 1. 27, 2000 Frederiksberg"
"Sylows Alle 13, 1. 26, 2000 Frederiksberg"
"Sylows Alle 13, 1. 25, 2000 Frederiksberg"
"Sylows Alle 13, 2. 12, 2000 Frederiksberg"
"Sylows Alle 13, 2. 10, 2000 Frederiksberg"
"Sylows Alle 13, 2. 1, 2000 Frederiksberg"
"Sylows Alle 13, 1. 7, 2000 Frederiksberg"
"Sylows Alle 13, 1. 6, 2000 Frederiksberg"
"Sylows Alle 13, 1. 5, 2000 Frederiksberg"
"Sylows Alle 13, 1. 4, 2000 Frederiksberg"
"Sylows Alle 13, 2. 3, 2000 Frederiksberg"
"Sylows Alle 13, 2. 28, 2000 Frederiksberg"
"Sylows Alle 13, 2. 27, 2000 Frederiksberg"
"Sylows Alle 13, 2. 25, 2000 Frederiksberg"
"Sylows Alle 13, 2. 24, 2000 Frederiksberg"
"Sylows Alle 13, 2. 23, 2000 Frederiksberg"
"Sylows Alle 13, 2. 7, 2000 Frederiksberg"
"Sylows Alle 13, 2. 6, 2000 Frederiksberg"
"Sylows Alle 13, 2. 5, 2000 Frederiksberg"
