"Nørrealle 1, st., Vils, 7980 Vils"
"Nørrealle 1, 1., Vils, 7980 Vils"
"Nørrealle 1, Vils, 7980 Vils"
"Nørrealle 41, 7980 Vils"
"Næssundvej 176, Vils, 7980 Vils"
"Smedebjergevej 47, Vils, 7980 Vils"
"Kirkebakken 12, Vejerslev, 7980 Vils"
"Kridtvej 19, Vejerslev, 7980 Vils"
"Bjørnsagervej 10, Vejerslev, 7980 Vils"
"Næssundvej 163, Vils, 7980 Vils"
"Nørrealle 29, Vils, 7980 Vils"
