"Kronprinsensgade 5, 4. tv, 1114 København K"
"Kronprinsensgade 16, 1114 København K"
"Kronprinsensgade 6C, st., 1114 København K"
"Kronprinsensgade 3, 1114 København K"
"Kronprinsensgade 6, 4., 1114 København K"
"Kronprinsensgade 9, st. th, 1114 København K"
"Kronprinsensgade 8, 3., 1114 København K"
"Kronprinsensgade 9, 1114 København K"
"Kronprinsensgade 5, 2. tv, 1114 København K"
"Kronprinsensgade 5, 1114 København K"
"Kronprinsensgade 12, 1114 København K"
"Kronprinsensgade 1, 1. th, 1114 København K"
"Kronprinsensgade 6C, 4., 1114 København K"
"Kronprinsensgade 1, 4. tv, 1114 København K"
"Kronprinsensgade 1, 3. th, 1114 København K"
"Kronprinsensgade 1, 3. tv, 1114 København K"
"Kronprinsensgade 6, 1., 1114 København K"
"Kronprinsensgade 9B, 1. th, 1114 København K"
"Kronprinsensgade 6, 1114 København K"
"Kronprinsensgade 8A, st. th, 1114 København K"
"Kronprinsensgade 9A, 2., 1114 København K"
"Kronprinsensgade 6C, 3., 1114 København K"
"Kronprinsensgade 5, 5. tv, 1114 København K"
"Kronprinsensgade 8, 1. tv, 1114 København K"
"Kronprinsensgade 8, kl., 1114 København K"
"Kronprinsensgade 5A, st. tv, 1114 København K"
"Kronprinsensgade 4, 6., 1114 København K"
"Kronprinsensgade 6C, kl., 1114 København K"
"Kronprinsensgade 13, 6. 6, 1114 København K"
"Kronprinsensgade 13, 2., 1114 København K"
"Kronprinsensgade 13, 3., 1114 København K"
"Kronprinsensgade 13, 5., 1114 København K"
"Kronprinsensgade 13, 4., 1114 København K"
"Kronprinsensgade 1, st. tv, 1114 København K"
"Kronprinsensgade 5, 1. th, 1114 København K"
"Kronprinsensgade 9, 1. tv, 1114 København K"
"Kronprinsensgade 7, st. mf, 1114 København K"
"Kronprinsensgade 7, 2., 1114 København K"
"Kronprinsensgade 7, 3., 1114 København K"
"Kronprinsensgade 8A, 1114 København K"
"Kronprinsensgade 9P, 1114 København K"
"Kronprinsensgade 7, 2., 1114 København K"
"Kronprinsensgade 7, 3. tv, 1114 København K"
"Kronprinsensgade 7, 3. th, 1114 København K"
"Kronprinsensgade 7, kl., 1114 København K"
"Kronprinsensgade 7, 3., 1114 København K"
"Kronprinsensgade 7, 2. tv, 1114 København K"
"Kronprinsensgade 7, 2. th, 1114 København K"
"Kronprinsensgade 9N, 1114 København K"
"Kronprinsensgade 9L, 1114 København K"
"Kronprinsensgade 9K, 1114 København K"
