"Ny Østergade 28, st. 1, 1101 København K"
"Ny Østergade 30, st., 1101 København K"
"Ny Østergade 30, 1101 København K"
"Ny Østergade 1, 2., 1101 København K"
"Ny Østergade 1, 3., 1101 København K"
"Ny Østergade 1, 4., 1101 København K"
"Ny Østergade 1, 1., 1101 København K"
"Ny Østergade 1, kl., 1101 København K"
"Ny Østergade 1, 1101 København K"
"Ny Østergade 1, st., 1101 København K"
"Ny Østergade 26A, 1101 København K"
"Ny Østergade 30, 1. tv, 1101 København K"
"Ny Østergade 30, 1. mf, 1101 København K"
"Ny Østergade 24, 1., 1101 København K"
"Ny Østergade 30, 1. tv, 1101 København K"
"Ny Østergade 30, 1., 1101 København K"
"Ny Østergade 7, 4. tv, 1101 København K"
"Ny Østergade 15, 4., 1101 København K"
"Ny Østergade 23, kl., 1101 København K"
"Ny Østergade 26, 1101 København K"
"Ny Østergade 13, st., 1101 København K"
"Ny Østergade 13, 1101 København K"
"Ny Østergade 13, kl., 1101 København K"
"Ny Østergade 9A, 1101 København K"
"Ny Østergade 9, 1101 København K"
"Ny Østergade 9, kl., 1101 København K"
"Ny Østergade 9, st., 1101 København K"
"Ny Østergade 9, st. th, 1101 København K"
"Ny Østergade 9, st. tv, 1101 København K"
"Ny Østergade 9, 1., 1101 København K"
"Ny Østergade 9, 2., 1101 København K"
"Ny Østergade 9, 3., 1101 København K"
"Ny Østergade 9, 4., 1101 København K"
"Østergade 22A, 4, 1101 København K"
