"Enghavevej 56, 4892 Kettinge"
"Kampervej 6, 4892 Kettinge"
"Mosevej 3, 4892 Kettinge"
"Bregningevej 31, Døllefjelde, 4892 Kettinge"
"Sporet 4, 4892 Kettinge"
"Sporet 6, 4892 Kettinge"
"Stationsvej 1, Frejlev, 4892 Kettinge"
"Enghavevej 74, 4892 Kettinge"
"Stationsvej 2, Frejlev, 4892 Kettinge"
"Sønderhavevej 1, 4892 Kettinge"
"Vivevej 1, Frejlev, 4892 Kettinge"
"Stationsvej 3, Frejlev, 4892 Kettinge"
"Vivevej 2, Frejlev, 4892 Kettinge"
"Stationsvej 4, Frejlev, 4892 Kettinge"
"Sønderhavevej 3, 4892 Kettinge"
"Stationsvej 5, Frejlev, 4892 Kettinge"
"Sønderhavevej 4, 4892 Kettinge"
"Vivevej 4, Frejlev, 4892 Kettinge"
"Stationsvej 6, Frejlev, 4892 Kettinge"
"Sønderhavevej 5, 4892 Kettinge"
"Vivevej 5, Frejlev, 4892 Kettinge"
"Kildevangsvej 8A, 4892 Kettinge"
"Stationsvej 7, Frejlev, 4892 Kettinge"
"Sønderhavevej 6, 4892 Kettinge"
"Kildevej 1, Frejlev, 4892 Kettinge"
"Sønderhavevej 7, 4892 Kettinge"
"Stationsvej 9, Frejlev, 4892 Kettinge"
"Engvej 2, Bregninge, 4892 Kettinge"
"Stationsvej 10, Frejlev, 4892 Kettinge"
"Sønderhavevej 11, 4892 Kettinge"
"Stationsvej 11, Frejlev, 4892 Kettinge"
"Engvej 4, Bregninge, 4892 Kettinge"
"Stationsvej 12, Frejlev, 4892 Kettinge"
"Sønderhavevej 15, 4892 Kettinge"
"Engvej 6, Bregninge, 4892 Kettinge"
"Stationsvej 13, Frejlev, 4892 Kettinge"
"Stationsvej 15, Frejlev, 4892 Kettinge"
"Stenrisvej 1, Underup, 4892 Kettinge"
"Stenrisvej 2, Underup, 4892 Kettinge"
"Stenrisvej 4, Underup, 4892 Kettinge"
"Vænget 2, Bækkeskov, 4892 Kettinge"
"Eskemosevej 3, 4892 Kettinge"
"Grønnegadevej 19, 4892 Kettinge"
"Vænget 3, Bækkeskov, 4892 Kettinge"
"Vænget 5, Bækkeskov, 4892 Kettinge"
"Eskemosevej 7, 4892 Kettinge"
"Eskemosevej 8, 4892 Kettinge"
"Grønnegadevej 24A, 4892 Kettinge"
"Eskemosevej 10, 4892 Kettinge"
"Stoffervej 1, 4892 Kettinge"
"Stoffervej 2, 4892 Kettinge"
"Stoffervej 3, 4892 Kettinge"
"Stoffervej 5, 4892 Kettinge"
"Eskemosevej 14, 4892 Kettinge"
"Stoffervej 6, 4892 Kettinge"
"Lienlundsvej 1B, Nr Frejlev, 4892 Kettinge"
"Frostrupvej 4, Sløsserup, 4892 Kettinge"
"Enghavevej 48B, 4892 Kettinge"
"Bækkeskovvej 7, 4892 Kettinge"
"Rågelundevej 22B, 4892 Kettinge"
"Bøgevænget 18, 4892 Kettinge"
"Grønnegadevej 12B, 4892 Kettinge"
"Aalholmvej 9, 4892 Kettinge"
"Bøgevænget 7, 4892 Kettinge"
"Stationsvej 2A, Frejlev, 4892 Kettinge"
"Kettingevej 120A, 4892 Kettinge"
"Klokkemosen 4C, 4892 Kettinge"
"Fuglsangvej 49, 4892 Kettinge"
"Birkevænget 15, 4892 Kettinge"
"Bøgevænget 14, 4892 Kettinge"
"Vænget 1, Bækkeskov, 4892 Kettinge"
"Bøgevænget 20, 4892 Kettinge"
"Kettingevej 3D, 4892 Kettinge"
"Grønnegadevej 45A, 4892 Kettinge"
"Høgevej 11, 4892 Kettinge"
"Fuglsangvej 20, 4892 Kettinge"
"Brandtvej 1A, 4892 Kettinge"
"Kettingevej 64A, 4892 Kettinge"
"Bøgevænget 6, 4892 Kettinge"
"Præstegårdsstræde 4, 4892 Kettinge"
"Plantagevej 19, Nørremark, 4892 Kettinge"
"Sønderhavevej 10, 4892 Kettinge"
"Sløsserupvej 4B, Sløsserup, 4892 Kettinge"
"Klokkemosen 4D, 4892 Kettinge"
"Kolkevej 33, 4892 Kettinge"
"Kettingevej 118C, 4892 Kettinge"
"Høgevej 8, 4892 Kettinge"
"Fuglsangvej 25F, 4892 Kettinge"
"Enghavevej 3, 4892 Kettinge"
"Kolkevej 25B, 4892 Kettinge"
"Sløsserupvej 16, Sløsserup, 4892 Kettinge"
"Rågelundevej 24, 4892 Kettinge"
"Rågelundevej 21, 4892 Kettinge"
"Høgevej 10, 4892 Kettinge"
"Grønnegadevej 44B, 4892 Kettinge"
"Kettingevej 31, 4892 Kettinge"
"Bækkeskovvej 7B, 4892 Kettinge"
"Præstegårdsstræde 3, 4892 Kettinge"
"Nørrevej 27, 4892 Kettinge"
"Enghavevej 80B, 4892 Kettinge"
"Enghavevej 39B, 4892 Kettinge"
"Torupvej 9B, 4892 Kettinge"
"Kettingevej 27C, 4892 Kettinge"
"Anneksvej 1, 4892 Kettinge"
"Anneksvej 3, 4892 Kettinge"
"Kettingevej 99, 4892 Kettinge"
"Kettingevej 15, 4892 Kettinge"
"Eskemosevej 1E, 4892 Kettinge"
"Fuglsangvej 37B, 4892 Kettinge"
"Grønnegadevej 43, 4892 Kettinge"
"Kettingevej 1A, 4892 Kettinge"
"Nørrevej 3B, 4892 Kettinge"
"Rågelundevej 54A, 4892 Kettinge"
"Sønderhavevej 17, 4892 Kettinge"
"Sønderhavevej 19, 4892 Kettinge"
"Rågelundevej 50, 4892 Kettinge"
"Rågelundevej 52, 4892 Kettinge"
"Plantagevej 1B, Nørremark, 4892 Kettinge"
"Plantagevej 1A, Nørremark, 4892 Kettinge"
"Nyvej 11, 4892 Kettinge"
"Nyvej 17, 4892 Kettinge"
"Nyvej 19, 4892 Kettinge"
"Nørrevej 1, 4892 Kettinge"
"Nørrevej 3, 4892 Kettinge"
"Nørrevej 4, 4892 Kettinge"
"Nørrevej 5, 4892 Kettinge"
"Nørrevej 6, 4892 Kettinge"
"Nørrevej 9, 4892 Kettinge"
"Nørrevej 11, 4892 Kettinge"
"Nørrevej 12, 4892 Kettinge"
"Nørrevej 14, 4892 Kettinge"
"Nørrevej 16, 4892 Kettinge"
"Nørrevej 31, 4892 Kettinge"
"Nørrevej 7, 4892 Kettinge"
"Nørrevej 8, 4892 Kettinge"
"Nørrevej 10, 4892 Kettinge"
"Nørrevej 15, 4892 Kettinge"
"Nørrevej 23, 4892 Kettinge"
"Nørrevej 33, 4892 Kettinge"
"Nørrevej 37, 4892 Kettinge"
