"Bygmestervej 3, 2400 København NV"
"Borups Allé 255, 2. th, 2400 København NV"
"Rådvadsvej 134, st. mf, 2400 København NV"
"C.J. Brandts Vej 13C, st. tv, 2400 København NV"
"Ringertoften 2, 1. th, 2400 København NV"
"Sangfuglestien 4, 3. th, 2400 København NV"
"Ringertoften 2, 2. tv, 2400 København NV"
"Brofogedvej 15, 3. th, 2400 København NV"
"Ringertoften 2, 2. th, 2400 København NV"
"Lærkebakken 7, 2400 København NV"
"Ringertoften 2, 3. tv, 2400 København NV"
"Ringertoften 2, 3. th, 2400 København NV"
"Ringertoften 2, 4. th, 2400 København NV"
"Bygmestervej 37, 2. tv, 2400 København NV"
"Vestergårdsvej 10, 2. tv, 2400 København NV"
"Vestergårdsvej 43, 1. th, 2400 København NV"
"Gravervænget 5, 2400 København NV"
"Mejsevænget 16, 2. th, 2400 København NV"
"Gravervænget 5, st., 2400 København NV"
"Mesterstien 7, 2. th, 2400 København NV"
"Vibevej 50, 3. th, 2400 København NV"
"Hillerødgade 124, 2. th, 2400 København NV"
"Gravervænget 5, 1. tv, 2400 København NV"
"Hjortholms Allé 8, 2. th, 2400 København NV"
"Mosesvinget 82, 2400 København NV"
"Slotsfogedvej 1, 2. th, 2400 København NV"
"Musvågevej 24, 1. 115, 2400 København NV"
"Slåenvej 16, 2400 København NV"
"Gravervænget 5, 1. th, 2400 København NV"
"Sneppevej 5, 4. th, 2400 København NV"
"Møntmestervej 12C, 1. th, 2400 København NV"
"Mågevej 44, 1. tv, 2400 København NV"
"Mågevej 82, 3. tv, 2400 København NV"
"Vognborgvej 2, 2., 2400 København NV"
"Houmanns Allé 7, 4. th, 2400 København NV"
"Nattergalevej 50, st. th, 2400 København NV"
"Hovmestervej 43, 1. tv, 2400 København NV"
"Nattergalevej 88, 2. th, 2400 København NV"
"Degnestavnen 3, 3. th, 2400 København NV"
"Hulgårdsvej 92, 2. tv, 2400 København NV"
"Statholdervej 15, 4. tv, 2400 København NV"
"Dortheavej 39, 1., 2400 København NV"
"Æblevej 10, 2400 København NV"
"Gravervænget 5, 2. tv, 2400 København NV"
"Hvidkildevej 28, 3., 2400 København NV"
"Ørnevej 17, 4. th, 2400 København NV"
"Ørnevej 64, 1. th, 2400 København NV"
"Gravervænget 5, 2. th, 2400 København NV"
"Håndværkerhaven 7, st. tv, 2400 København NV"
"Håndværkerhaven 49A, 1. 109, 2400 København NV"
"Gravervænget 5, 3. tv, 2400 København NV"
"Emdrup Kærvej 11, 2400 København NV"
"Emdrupvej 114, kl. 2, 2400 København NV"
"Gravervænget 5, 3. th, 2400 København NV"
"Stærevej 12, 3. tv, 2400 København NV"
"Gravervænget 5, 4. tv, 2400 København NV"
"Stærevej 32, 6. e, 2400 København NV"
"Stærevej 50, 2. th, 2400 København NV"
"Gravervænget 5, 4. th, 2400 København NV"
"Ringertoften 12, st., 2400 København NV"
"Ringertoften 12, 1. tv, 2400 København NV"
"Ringertoften 12, 1. th, 2400 København NV"
"Filosofvænget 5, 3., 2400 København NV"
"Ringertoften 12, 2. tv, 2400 København NV"
"Kantorparken 8, 3., 2400 København NV"
"Ringertoften 12, 2. th, 2400 København NV"
"Tagensvej 199, 4. tv, 2400 København NV"
"Tagensvej 228, 3., 2400 København NV"
"Frederiksborgvej 13, 4. mf, 2400 København NV"
"Perlestikkervej 15, 2. mf, 2400 København NV"
"Frederiksborgvej 60, 3. th, 2400 København NV"
"Ringertoften 12, 3. tv, 2400 København NV"
"Frederiksborgvej 101, 3. th, 2400 København NV"
"Frederiksborgvej 159, 1. 4, 2400 København NV"
"Frederiksborgvej 199, 2., 2400 København NV"
"Theklavej 25, 1. th, 2400 København NV"
"Frederikssundsvej 13, 2. th, 2400 København NV"
"Ringertoften 12, 3. th, 2400 København NV"
"Frederikssundsvej 56A, 2. th, 2400 København NV"
"Ringertoften 12, 4. tv, 2400 København NV"
"Frederikssundsvej 68H, 1. th, 2400 København NV"
"Frederikssundsvej 85, 4. th, 2400 København NV"
"Ringertoften 12, 4. th, 2400 København NV"
"Provstevej 11A, 1. tv, 2400 København NV"
"Præstelængen 15, 4. tv, 2400 København NV"
"Frimestervej 18, 4. tv, 2400 København NV"
"Ringertoften 8, st. tv, 2400 København NV"
"Tomsgårdsvej 10, 1. th, 2400 København NV"
"Tonemestervej 22, st. th, 2400 København NV"
"Ringertoften 8, st. th, 2400 København NV"
"Tornsangervej 11, 2. tv, 2400 København NV"
"Ringertoften 8, 1. tv, 2400 København NV"
"Tranevej 4, 1. th, 2400 København NV"
"Banebrinken 99, 3. 83, 2400 København NV"
"Ringertoften 8, 1. th, 2400 København NV"
"Rentemestervej 21A, 2. 6, 2400 København NV"
"Tuborgvej 256, 1. tv, 2400 København NV"
"Ridefogedvej 8, 4. mf, 2400 København NV"
"Gemmet 5, st. mf, 2400 København NV"
"Ringergården 3, 4. 152, 2400 København NV"
"Genforeningspladsen 29, 2. th, 2400 København NV"
"Ringertoften 8, 2. tv, 2400 København NV"
"Ringertoften 8, 2. th, 2400 København NV"
"Birkedommervej 22, 1. tv, 2400 København NV"
"Glentevej 38, 4. th, 2400 København NV"
"Ringertoften 8, 3. tv, 2400 København NV"
"Birkedommervej 84, 2. tv, 2400 København NV"
"Kærsangervej 3, 1. tv, 2400 København NV"
"Bispebjerg Bakke 5, 4. 414, 2400 København NV"
"Bispebjerg Bakke 23F, st. th, 2400 København NV"
"Bispebjergvej 47, st. tv, 2400 København NV"
"Landsdommervej 33, 4. tv, 2400 København NV"
"Ringertoften 8, 3. th, 2400 København NV"
"Ringertoften 8, 4. tv, 2400 København NV"
"Utterslev Torv 18, 3. tv, 2400 København NV"
"Utterslevvej 17E, 7. th, 2400 København NV"
"Grysgårdsvej 3, 2400 København NV"
"Ringertoften 8, 4. th, 2400 København NV"
"Blåmunkevej 35, st. th, 2400 København NV"
"Ringertoften 14, st. tv, 2400 København NV"
"Ringertoften 14, st. th, 2400 København NV"
"Grønnemose Allé 15, 2400 København NV"
"Bogtrykkervej 24, 1. th, 2400 København NV"
"Ringertoften 14, 1. tv, 2400 København NV"
"Gulkløvervej 8, st., 2400 København NV"
"Ringertoften 14, 1. th, 2400 København NV"
"Rønnebærvej 10, 1. th, 2400 København NV"
"Borups Allé 200, st. tv, 2400 København NV"
"Rørsangervej 54, 1. mf, 2400 København NV"
"Borups Allé 233A, 3. th, 2400 København NV"
"Borups Allé 255, 2. tv, 2400 København NV"
"Ringertoften 14, 2. tv, 2400 København NV"
"Rådvadsvej 134, st. th, 2400 København NV"
"C.J. Brandts Vej 13D, 2400 København NV"
"Sangfuglestien 4, 3. tv, 2400 København NV"
"Ringertoften 14, 2. th, 2400 København NV"
"Ringertoften 14, 3. tv, 2400 København NV"
"Brofogedvej 15, 3. tv, 2400 København NV"
"Lærkebakken 10, 2400 København NV"
"Ringertoften 14, 3. th, 2400 København NV"
"Ringertoften 14, 4. tv, 2400 København NV"
"Bygmestervej 37, 3. th, 2400 København NV"
"Vestergårdsvej 11, st. th, 2400 København NV"
"Vestergårdsvej 43, 1. tv, 2400 København NV"
"Mejsevænget 16, 2. tv, 2400 København NV"
"Ringertoften 14, 4. th, 2400 København NV"
"Mesterstien 7, 2. tv, 2400 København NV"
"Vibevej 51, st., 2400 København NV"
"Ringertoften 16, st. tv, 2400 København NV"
"Charlotte Muncks Vej 9, 1., 2400 København NV"
"Hillerødgade 124, 2. tv, 2400 København NV"
"Hjortholms Allé 8, 2. tv, 2400 København NV"
"Mosesvinget 96, 2400 København NV"
"Slotsfogedvej 1, 2. tv, 2400 København NV"
"Musvågevej 24, 1. 116, 2400 København NV"
"Ringertoften 16, st. th, 2400 København NV"
"Slåenvej 17, 2400 København NV"
"Sneppevej 5, 4. tv, 2400 København NV"
"Møntmestervej 12C, 1. tv, 2400 København NV"
"Mågevej 44, 2. mf, 2400 København NV"
"Mågevej 82, 4. th, 2400 København NV"
"Houmanns Allé 7, 4. tv, 2400 København NV"
"Nattergalevej 50, st. tv, 2400 København NV"
"Hovmestervej 43, 2. th, 2400 København NV"
"Nattergalevej 88, 2. tv, 2400 København NV"
"Degnestavnen 3, 3. tv, 2400 København NV"
"Hulgårdsvej 92, 3., 2400 København NV"
"Statholdervej 17, st. th, 2400 København NV"
"Dortheavej 48, 2400 København NV"
"Æblevej 11, 2400 København NV"
"Ringertoften 16, 1. tv, 2400 København NV"
"Hvidkildevej 30, st., 2400 København NV"
"Ørnevej 17, 4. tv, 2400 København NV"
"Ørnevej 64, 1. tv, 2400 København NV"
"Ringertoften 16, 1. th, 2400 København NV"
"Ringertoften 16, 2. tv, 2400 København NV"
"Ringertoften 16, 2. th, 2400 København NV"
"Håndværkerhaven 7, 1. mf, 2400 København NV"
"Emdrup Engvej 1, st., 2400 København NV"
"Håndværkerhaven 49A, 1. 110, 2400 København NV"
"Emdrup Kærvej 12, 2400 København NV"
"Engblommevej 45, 1. mf, 2400 København NV"
"Ringertoften 16, 3. tv, 2400 København NV"
"Stærevej 12, 4. th, 2400 København NV"
"Stærevej 32, 6. f, 2400 København NV"
"Stærevej 50, 2. tv, 2400 København NV"
"Ringertoften 16, 3. th, 2400 København NV"
"Ringertoften 16, 4. tv, 2400 København NV"
"Ringertoften 16, 4. th, 2400 København NV"
"Filosofvænget 6, kl., 2400 København NV"
"Ringertoften 10, st., 2400 København NV"
"Kantorparken 9, st. th, 2400 København NV"
"Tagensvej 200, st. th, 2400 København NV"
"Ringertoften 10, 1. tv, 2400 København NV"
"Tagensvej 229, st. th, 2400 København NV"
"Frederiksborgvej 13, 4. th, 2400 København NV"
"Perlestikkervej 15, 2. th, 2400 København NV"
"Frederiksborgvej 60, 3. tv, 2400 København NV"
"Frederiksborgvej 101, 3. tv, 2400 København NV"
"Frederiksborgvej 159, 2. 1, 2400 København NV"
"Ringertoften 10, 1. th, 2400 København NV"
"Frederiksborgvej 200, st. th, 2400 København NV"
"Theklavej 25, 1. tv, 2400 København NV"
"Frederikssundsvej 13, 2. tv, 2400 København NV"
"Frederikssundsvej 56A, 2. tv, 2400 København NV"
"Frederikssundsvej 68H, 1. tv, 2400 København NV"
"Ringertoften 10, 2. tv, 2400 København NV"
"Frederikssundsvej 85, 4. tv, 2400 København NV"
"Ringertoften 10, 2. th, 2400 København NV"
"Præstelængen 16, st. th, 2400 København NV"
"Frimestervej 19, st. th, 2400 København NV"
"Tomsgårdsvej 10, 1. tv, 2400 København NV"
"Ringertoften 10, 3. tv, 2400 København NV"
"Tonemestervej 22, st. tv, 2400 København NV"
"Ringertoften 10, 3. th, 2400 København NV"
"Tornsangervej 13, st. th, 2400 København NV"
"Tranevej 4, 1. tv, 2400 København NV"
"Banebrinken 99, 3. 84, 2400 København NV"
"Rentemestervej 21A, 2. 7, 2400 København NV"
"Ringertoften 10, 4. tv, 2400 København NV"
"Tuborgvej 256, 2. th, 2400 København NV"
"Ridefogedvej 8, 4. th, 2400 København NV"
"Gemmet 5, st. th, 2400 København NV"
"Ringergården 3, 4. 153, 2400 København NV"
"Genforeningspladsen 29, 2. tv, 2400 København NV"
"Ringertoften 10, 4. th, 2400 København NV"
"Tomsgårdsvej 61, st. tv, 2400 København NV"
"Birkedommervej 22, 2. th, 2400 København NV"
"Glentevej 38, 4. tv, 2400 København NV"
"Birkedommervej 84, 3. th, 2400 København NV"
"Kærsangervej 3, 2. th, 2400 København NV"
"Bispebjerg Bakke 5, 4. 415, 2400 København NV"
"Bispebjerg Bakke 23F, 1. th, 2400 København NV"
"Bispebjergvej 47, 1. th, 2400 København NV"
"Landsdommervej 35, st., 2400 København NV"
"Tomsgårdsvej 61, st. th, 2400 København NV"
"Tomsgårdsvej 61, 1. tv, 2400 København NV"
"Utterslev Torv 20, kl., 2400 København NV"
"Utterslevvej 17E, 7. tv, 2400 København NV"
"Tomsgårdsvej 61, 1. th, 2400 København NV"
"Blåmunkevej 35, st. tv, 2400 København NV"
"Tomsgårdsvej 61, 2. tv, 2400 København NV"
"Tomsgårdsvej 61, 2. th, 2400 København NV"
"Grønnemose Allé 16, 2400 København NV"
"Bogtrykkervej 24, 1. tv, 2400 København NV"
"Tomsgårdsvej 61, 3. tv, 2400 København NV"
"Gulkløvervej 8, 1., 2400 København NV"
"Rønnebærvej 10, 1. tv, 2400 København NV"
"Tomsgårdsvej 61, 3. th, 2400 København NV"
"Borups Allé 200, 1. mf, 2400 København NV"
"Rørsangervej 54, 1. th, 2400 København NV"
"Borups Allé 233A, 3. tv, 2400 København NV"
"Borups Allé 257, kl., 2400 København NV"
"Rådvadsvej 134, st. tv, 2400 København NV"
"C.J. Brandts Vej 13E, st. th, 2400 København NV"
"Sangfuglestien 5, st. th, 2400 København NV"
"Tomsgårdsvej 61, 4. tv, 2400 København NV"
"Brofogedvej 15, 4. th, 2400 København NV"
"Lærkebakken 12, 2400 København NV"
"Tomsgårdsvej 61, 4. th, 2400 København NV"
"Ringertoften 6, st. tv, 2400 København NV"
"Bygmestervej 37, 3. tv, 2400 København NV"
"Vestergårdsvej 11, st. tv, 2400 København NV"
"Vestergårdsvej 43, 2. th, 2400 København NV"
"Ringertoften 6, st. th, 2400 København NV"
"Mejsevænget 17, st. th, 2400 København NV"
"Mesterstien 7, 3., 2400 København NV"
"Vibevej 51, 1. th, 2400 København NV"
"Ringertoften 6, 1. tv, 2400 København NV"
"Hillerødgade 124, 3., 2400 København NV"
"Hjortholms Allé 8, 3. th, 2400 København NV"
"Mosesvinget 98, 2400 København NV"
"Slotsfogedvej 1, 3. th, 2400 København NV"
"Ringertoften 6, 1. th, 2400 København NV"
"Musvågevej 24, 1. 117, 2400 København NV"
"Slåenvej 18, 2400 København NV"
"Sneppevej 6, st., 2400 København NV"
"Møntmestervej 12C, 2. th, 2400 København NV"
"Mågevej 44, 2. th, 2400 København NV"
"Mågevej 82, 4. tv, 2400 København NV"
"Ringertoften 6, 2. tv, 2400 København NV"
"Houmanns Allé 7, 5. th, 2400 København NV"
"Nattergalevej 50, 1. th, 2400 København NV"
"Hovmestervej 43, 2. tv, 2400 København NV"
"Nattergalevej 88, 3., 2400 København NV"
"Degnestavnen 3, 4. tv, 2400 København NV"
"Hulgårdsvej 94, st. th, 2400 København NV"
"Statholdervej 17, st. tv, 2400 København NV"
"Dortheavej 50, 2400 København NV"
"Æblevej 12, 2400 København NV"
"Hvidkildevej 30, 1. th, 2400 København NV"
"Ørnevej 18, st. th, 2400 København NV"
"Ørnevej 64, 2. th, 2400 København NV"
"Ringertoften 6, 2. th, 2400 København NV"
"Ringertoften 6, 3. tv, 2400 København NV"
"Ringertoften 6, 3. th, 2400 København NV"
"Ringertoften 6, 4. tv, 2400 København NV"
"Håndværkerhaven 7, 1. th, 2400 København NV"
"Emdrup Engvej 1, 1., 2400 København NV"
"Håndværkerhaven 49A, 1. 111, 2400 København NV"
"Emdrup Kærvej 13, 2400 København NV"
"Ringertoften 6, 4. th, 2400 København NV"
"Emdrupvej 114, st. 1, 2400 København NV"
"Engblommevej 45, 1. th, 2400 København NV"
"Tomsgårdsvej 63, kl., 2400 København NV"
"Stærevej 12, 4. tv, 2400 København NV"
"Stærevej 32, 6. g, 2400 København NV"
"Stærevej 50, 3. th, 2400 København NV"
"Tomsgårdsvej 63, st. tv, 2400 København NV"
"Tomsgårdsvej 63, st. th, 2400 København NV"
"Tomsgårdsvej 63, 1. tv, 2400 København NV"
"Tomsgårdsvej 63, 1. th, 2400 København NV"
"Filosofvænget 6, st. th, 2400 København NV"
"Tomsgårdsvej 63, 2. tv, 2400 København NV"
"Tomsgårdsvej 63, 2. th, 2400 København NV"
"Tomsgårdsvej 63, 3. tv, 2400 København NV"
"Kantorparken 9, st. tv, 2400 København NV"
"Tagensvej 200, st. tv, 2400 København NV"
"Tagensvej 229, st. tv, 2400 København NV"
"Frederiksborgvej 13, 4. tv, 2400 København NV"
"Tomsgårdsvej 63, 3. th, 2400 København NV"
"Frederiksborgvej 60, 4. th, 2400 København NV"
"Frederiksborgvej 101, 4. th, 2400 København NV"
"Frederiksborgvej 159, 2. 2, 2400 København NV"
"Frederiksborgvej 200, st. tv, 2400 København NV"
"Tomsgårdsvej 63, 4. tv, 2400 København NV"
"Frederikssundsvej 13, 3. th, 2400 København NV"
"Frederikssundsvej 56A, 3. th, 2400 København NV"
"Tomsgårdsvej 63, 4. th, 2400 København NV"
"Frederikssundsvej 68H, 2. th, 2400 København NV"
"Frederikssundsvej 86, 1. th, 2400 København NV"
"Frederikssundsvej 101, st. th, 2400 København NV"
"Præstelængen 16, st. tv, 2400 København NV"
"Frimestervej 19, st. tv, 2400 København NV"
"Frimestervej 44, 4., 2400 København NV"
"Tomsgårdsvej 10, 2. th, 2400 København NV"
"Tonemestervej 22, 1. th, 2400 København NV"
"Tomsgårdsvej 67, st. tv, 2400 København NV"
"Tornsangervej 13, st. tv, 2400 København NV"
"Tranevej 4, 2. th, 2400 København NV"
"Banebrinken 101, st. 85, 2400 København NV"
"Tomsgårdsvej 67, st. th, 2400 København NV"
"Rentemestervej 21A, 2. 8, 2400 København NV"
"Tuborgvej 256, 2. tv, 2400 København NV"
"Tomsgårdsvej 67, 1. tv, 2400 København NV"
"Ridefogedvej 8, 4. tv, 2400 København NV"
"Gemmet 5, st. tv, 2400 København NV"
"Ringergården 3, 4. 154, 2400 København NV"
"Genforeningspladsen 29, 3., 2400 København NV"
"Tomsgårdsvej 67, 1. th, 2400 København NV"
"Tomsgårdsvej 67, 2. tv, 2400 København NV"
"Borups Allé 257, st. th, 2400 København NV"
"Birkedommervej 22, 2. tv, 2400 København NV"
"Glentevej 40, st. th, 2400 København NV"
"Birkedommervej 84, 3. tv, 2400 København NV"
"Kærsangervej 3, 2. tv, 2400 København NV"
"Bispebjerg Bakke 5, 5. 511, 2400 København NV"
"Bispebjerg Bakke 23F, 1. tv, 2400 København NV"
"Tomsgårdsvej 67, 2. th, 2400 København NV"
"Bispebjergvej 47, 1. tv, 2400 København NV"
"Landsdommervej 35, 1., 2400 København NV"
"Tomsgårdsvej 67, 3. tv, 2400 København NV"
"Tomsgårdsvej 67, 3. th, 2400 København NV"
"Utterslev Torv 20, st. mf, 2400 København NV"
"Utterslevvej 17F, st. th, 2400 København NV"
"Tomsgårdsvej 67, 4. tv, 2400 København NV"
"Blåmunkevej 35, 1. th, 2400 København NV"
"Grønnemose Allé 17, st., 2400 København NV"
"Tomsgårdsvej 67, 4. th, 2400 København NV"
"Bogtrykkervej 24, 2. th, 2400 København NV"
"Gravervænget 1, st. tv, 2400 København NV"
"Gulkløvervej 9, 2400 København NV"
"Rønnebærvej 10, 2. tv, 2400 København NV"
"Gravervænget 1, st. th, 2400 København NV"
"Borups Allé 200, 1. th, 2400 København NV"
"Rørsangervej 54, 1. tv, 2400 København NV"
"Borups Allé 233B, st. th, 2400 København NV"
"Rådvadsvej 134, 1. mf, 2400 København NV"
"C.J. Brandts Vej 13E, st. tv, 2400 København NV"
"Sangfuglestien 5, st. tv, 2400 København NV"
"Gravervænget 1, 1. tv, 2400 København NV"
"Gravervænget 1, 1. th, 2400 København NV"
"Brofogedvej 15, 4. tv, 2400 København NV"
"Mosesvinget 62, 2400 København NV"
"Gravervænget 1, 2. tv, 2400 København NV"
"Bygmestervej 37, 4. th, 2400 København NV"
"Vestergårdsvej 11, 1. mf, 2400 København NV"
"Vestergårdsvej 43, 2. tv, 2400 København NV"
"Gravervænget 1, 2. th, 2400 København NV"
"Mejsevænget 17, st. tv, 2400 København NV"
"Gravervænget 1, 3. tv, 2400 København NV"
"Mesterstien 8, st. th, 2400 København NV"
"Vibevej 51, 1. tv, 2400 København NV"
"Hillerødgade 125, 2400 København NV"
"Gravervænget 1, 3. th, 2400 København NV"
"Hjortholms Allé 8, 3. tv, 2400 København NV"
"Gravervænget 1, 4. tv, 2400 København NV"
"Mosesvinget 100, 2400 København NV"
"Musvågevej 24, 2. 201, 2400 København NV"
"Sneppevej 6, 1. th, 2400 København NV"
"Møntmestervej 12C, 2. tv, 2400 København NV"
"Mågevej 44, 2. tv, 2400 København NV"
"Mågevej 83, st. th, 2400 København NV"
"Vognborgvej 4, st., 2400 København NV"
"Houmanns Allé 7, 5. tv, 2400 København NV"
"Nattergalevej 50, 1. tv, 2400 København NV"
"Hovmestervej 43, 3. th, 2400 København NV"
"Nattergalevej 90, st. mf, 2400 København NV"
"Degnestavnen 5, st. th, 2400 København NV"
"Hulgårdsvej 94, st. tv, 2400 København NV"
"Statholdervej 17, 1. th, 2400 København NV"
"Dortheavej 52, st., 2400 København NV"
"Gravervænget 1, 4. th, 2400 København NV"
"Æblevej 13, 2400 København NV"
"Hvidkildevej 30, 1. tv, 2400 København NV"
"Tomsgårdsvej 65, kl., 2400 København NV"
"Ørnevej 18, st. tv, 2400 København NV"
"Ørnevej 64, 2. tv, 2400 København NV"
"Tomsgårdsvej 65, st. tv, 2400 København NV"
"Håndværkerhaven 7, 1. tv, 2400 København NV"
"Tomsgårdsvej 65, st. th, 2400 København NV"
"Emdrup Engvej 2, st., 2400 København NV"
"Håndværkerhaven 49A, 1. 112, 2400 København NV"
"Emdrup Kærvej 14, 2400 København NV"
"Emdrupvej 114, st. 2, 2400 København NV"
"Tomsgårdsvej 65, 1. tv, 2400 København NV"
"Engblommevej 45, 1. tv, 2400 København NV"
"Stærevej 14, st. th, 2400 København NV"
"Stærevej 32, 6. h, 2400 København NV"
"Tomsgårdsvej 65, 1. th, 2400 København NV"
"Stærevej 50, 3. tv, 2400 København NV"
"Tomsgårdsvej 65, 2. tv, 2400 København NV"
"Frederikssundsvej 101, st. tv, 2400 København NV"
"Filosofvænget 6, st. tv, 2400 København NV"
"Tomsgårdsvej 65, 2. th, 2400 København NV"
"Tagensvej 165, st. th, 2400 København NV"
"Kantorparken 9, 1. th, 2400 København NV"
"Tagensvej 200, 1. th, 2400 København NV"
"Tagensvej 229, 1. th, 2400 København NV"
"Tomsgårdsvej 65, 3. tv, 2400 København NV"
"Frederiksborgvej 13, 5. th, 2400 København NV"
"Perlestikkervej 15, 3. mf, 2400 København NV"
"Frederiksborgvej 60, 4. tv, 2400 København NV"
"Frederiksborgvej 101, 4. tv, 2400 København NV"
"Tomsgårdsvej 65, 3. th, 2400 København NV"
"Frederiksborgvej 159, 2. 3, 2400 København NV"
"Frederiksborgvej 200, 1. th, 2400 København NV"
"Frederikssundsvej 13, 3. tv, 2400 København NV"
"Frederikssundsvej 56A, 3. tv, 2400 København NV"
"Frederikssundsvej 68H, 2. tv, 2400 København NV"
"Frederikssundsvej 86, 1. tv, 2400 København NV"
"Tomsgårdsvej 65, 4. tv, 2400 København NV"
"Provstevej 11, st., 2400 København NV"
"Præstelængen 16, 1., 2400 København NV"
"Frimestervej 19, 1. th, 2400 København NV"
"Frimestervej 45, st. th, 2400 København NV"
"Tomsgårdsvej 65, 4. th, 2400 København NV"
"Tomsgårdsvej 10, 2. tv, 2400 København NV"
"Tonemestervej 22, 1. tv, 2400 København NV"
"Tornsangervej 13, 1. th, 2400 København NV"
"Tranevej 4, 2. tv, 2400 København NV"
"Banebrinken 101, st. 86, 2400 København NV"
"Ringertoften 28, 2400 København NV"
"Rentemestervej 21A, 2. 9, 2400 København NV"
"Ringertoften 28, st. tv, 2400 København NV"
"Tuborgvej 256, 3. th, 2400 København NV"
"Gemmet 5, 1. mf, 2400 København NV"
"Ringergården 3, 4. 155, 2400 København NV"
"Genforeningspladsen 31, st. th, 2400 København NV"
"Ringertoften 28, st. th, 2400 København NV"
"Birkedommervej 22, 3. th, 2400 København NV"
"Glentevej 40, st. tv, 2400 København NV"
"Birkedommervej 84, 4. th, 2400 København NV"
"Ringertoften 28, 1. tv, 2400 København NV"
"Kærsangervej 5, st. th, 2400 København NV"
"C.J. Brandts Vej 14, st. th, 2400 København NV"
"Bispebjerg Bakke 5, 5. 512, 2400 København NV"
"Bispebjerg Bakke 23F, 2. th, 2400 København NV"
"Ringertoften 28, 1. th, 2400 København NV"
"Bispebjergvej 47, 2. th, 2400 København NV"
"Landsdommervej 35, 2., 2400 København NV"
"Ringertoften 28, 2. tv, 2400 København NV"
"Ringertoften 28, 2. th, 2400 København NV"
"Utterslev Torv 20, st. th, 2400 København NV"
"Utterslevvej 17F, st. tv, 2400 København NV"
"Grysgårdsvej 5, st., 2400 København NV"
"Ringertoften 28, 3. tv, 2400 København NV"
"Blåmunkevej 35, 1. tv, 2400 København NV"
"Ringertoften 28, 3. th, 2400 København NV"
"Grønnemose Allé 17, 1., 2400 København NV"
"Bogtrykkervej 24, 2. tv, 2400 København NV"
"Ringertoften 28, 4. tv, 2400 København NV"
"Gulkløvervej 10, 2400 København NV"
"Rønnebærvej 11, st. mf, 2400 København NV"
"Ringertoften 28, 4. th, 2400 København NV"
"Borups Allé 200, 1. tv, 2400 København NV"
"Rørsangervej 54, 2. mf, 2400 København NV"
"Borups Allé 233B, st. tv, 2400 København NV"
"Borups Allé 257, st. tv, 2400 København NV"
"Rådvadsvej 134, 1. th, 2400 København NV"
"Ringertoften 30, st. tv, 2400 København NV"
"Sangfuglestien 5, 1. th, 2400 København NV"
"Ringertoften 30, st. th, 2400 København NV"
"Brofogedvej 16, kl. th, 2400 København NV"
"Lærkevej 1, st. 101, 2400 København NV"
"Ringertoften 30, 1. tv, 2400 København NV"
"Ringertoften 30, 1. th, 2400 København NV"
"Bygmestervej 37, 4. tv, 2400 København NV"
"Vestergårdsvej 11, 1. th, 2400 København NV"
"Vestergårdsvej 45, st. th, 2400 København NV"
"Mejsevænget 17, 1. th, 2400 København NV"
"Ringertoften 30, 2. tv, 2400 København NV"
"Mesterstien 8, st. tv, 2400 København NV"
"Vibevej 51, 2. th, 2400 København NV"
"Charlotte Muncks Vej 9, 2., 2400 København NV"
"Hjortholms Allé 9, st., 2400 København NV"
"Ringertoften 30, 2. th, 2400 København NV"
"Mosesvinget 102, 2400 København NV"
"Slotsfogedvej 1, 4. th, 2400 København NV"
"Musvågevej 24, 2. 202, 2400 København NV"
"Ringertoften 30, 3. tv, 2400 København NV"
"Sneppevej 6, 1. tv, 2400 København NV"
"Møntmestervej 12D, st. th, 2400 København NV"
"Mågevej 44, 3., 2400 København NV"
"Mågevej 83, st. tv, 2400 København NV"
"Vognborgvej 4, 1., 2400 København NV"
"Houmanns Allé 8, st. th, 2400 København NV"
"Nattergalevej 50, 2. th, 2400 København NV"
"Hovmestervej 43, 3. tv, 2400 København NV"
"Nattergalevej 90, st. th, 2400 København NV"
"Degnestavnen 5, st. tv, 2400 København NV"
"Hulgårdsvej 94, 1. th, 2400 København NV"
"Statholdervej 17, 1. tv, 2400 København NV"
"Dortheavej 52, 1., 2400 København NV"
"Æblevej 14, 2400 København NV"
"Ringertoften 30, 3. th, 2400 København NV"
"Hvidkildevej 30, 2. th, 2400 København NV"
"Ørnevej 18, 1. 1, 2400 København NV"
"Ørnevej 64, 3. th, 2400 København NV"
"Ringertoften 30, 4. tv, 2400 København NV"
"Storkebakken 1, 2400 København NV"
"Ringertoften 30, 4. th, 2400 København NV"
"Håndværkerhaven 7, 2. mf, 2400 København NV"
"Emdrup Engvej 2, 1., 2400 København NV"
"Håndværkerhaven 49A, 1. 115, 2400 København NV"
"Emdrup Kærvej 15, 2400 København NV"
"Emdrupvej 114, st. 3, 2400 København NV"
"Skoleholdervej 23, st. tv, 2400 København NV"
"Engblommevej 45, 2. mf, 2400 København NV"
"Stærevej 14, st. tv, 2400 København NV"
"Stærevej 32, 7. a, 2400 København NV"
"Stærevej 51, st. th, 2400 København NV"
"Skoleholdervej 23, st. th, 2400 København NV"
"Skoleholdervej 23, 1. tv, 2400 København NV"
"Skoleholdervej 23, 1. th, 2400 København NV"
"Filosofvænget 6, 1. th, 2400 København NV"
"Skoleholdervej 23, 2. tv, 2400 København NV"
