"Frederiksberggade 3B, 1., 1459 København K"
"Frederiksberggade 6, 1459 København K"
"Frederiksberggade 21, 1. tv, 1459 København K"
"Frederiksberggade 28B, st., 1459 København K"
"Frederiksberggade 28B, 1459 København K"
"Frederiksberggade 21, 3. th, 1459 København K"
"Frederiksberggade 8, 1., 1459 København K"
"Frederiksberggade 24, 1459 København K"
"Frederiksberggade 29, 4. tv, 1459 København K"
"Frederiksberggade 29, st. tv, 1459 København K"
"Frederiksberggade 26, 1459 København K"
"Frederiksberggade 34, st., 1459 København K"
"Frederiksberggade 21, 1. th, 1459 København K"
"Frederiksberggade 10B, 2., 1459 København K"
"Frederiksberggade 25B, 3., 1459 København K"
"Frederiksberggade 22, 3., 1459 København K"
"Frederiksberggade 10, 1., 1459 København K"
"Frederiksberggade 29, 1. tv, 1459 København K"
"Frederiksberggade 38, 1459 København K"
"Frederiksberggade 24, st., 1459 København K"
"Frederiksberggade 15, st., 1459 København K"
"Frederiksberggade 22, 1459 København K"
"Frederiksberggade 29, 1459 København K"
"Frederiksberggade 1A, 1. th, 1459 København K"
"Frederiksberggade 30A, 3., 1459 København K"
"Frederiksberggade 27, 1459 København K"
"Frederiksberggade 22, 3. tv, 1459 København K"
"Frederiksberggade 10, st., 1459 København K"
"Frederiksberggade 25D, st., 1459 København K"
"Frederiksberggade 3, st., 1459 København K"
"Frederiksberggade 30A, 2., 1459 København K"
"Frederiksberggade 1, 1459 København K"
"Frederiksberggade 25C, st., 1459 København K"
"Frederiksberggade 3B, 2., 1459 København K"
"Frederiksberggade 3A, st., 1459 København K"
"Frederiksberggade 10, 4., 1459 København K"
"Frederiksberggade 25A, 3., 1459 København K"
"Frederiksberggade 22, 3. th, 1459 København K"
"Frederiksberggade 28B, 2., 1459 København K"
"Frederiksberggade 29, 1., 1459 København K"
"Frederiksberggade 21, 2., 1459 København K"
"Frederiksberggade 1A, 1459 København K"
"Frederiksberggade 21, 1459 København K"
"Frederiksberggade 29, 3., 1459 København K"
"Frederiksberggade 28, 1. tv, 1459 København K"
"Frederiksberggade 10B, st., 1459 København K"
"Frederiksberggade 40, 1459 København K"
"Frederiksberggade 10B, 3., 1459 København K"
"Frederiksberggade 12A, 2. th, 1459 København K"
"Frederiksberggade 12A, 3., 1459 København K"
"Frederiksberggade 12A, 1459 København K"
"Frederiksberggade 8, st., 1459 København K"
"Frederiksberggade 6, st. th, 1459 København K"
"Frederiksberggade 5, 1459 København K"
"Frederiksberggade 29, 2. th, 1459 København K"
"Frederiksberggade 11B, 1459 København K"
"Frederiksberggade 25D, 2., 1459 København K"
"Frederiksberggade 28, st. tv, 1459 København K"
"Frederiksberggade 26, st., 1459 København K"
"Frederiksberggade 29, 4. th, 1459 København K"
"Frederiksberggade 40, 3., 1459 København K"
"Frederiksberggade 40, 4., 1459 København K"
