"Esbern Snares Gade 3, st. tv, 1725 København V"
"Esbern Snares Gade 3, 1. th, 1725 København V"
"Esbern Snares Gade 3, 1. tv, 1725 København V"
"Esbern Snares Gade 3, 2. th, 1725 København V"
"Esbern Snares Gade 3, 2. tv, 1725 København V"
"Esbern Snares Gade 3, 3. th, 1725 København V"
"Esbern Snares Gade 3, 3. tv, 1725 København V"
"Esbern Snares Gade 3, 4. th, 1725 København V"
"Esbern Snares Gade 3, 4. tv, 1725 København V"
"Esbern Snares Gade 4, st. th, 1725 København V"
"Esbern Snares Gade 4, st. tv, 1725 København V"
"Esbern Snares Gade 4, 1. th, 1725 København V"
"Esbern Snares Gade 4, 1. tv, 1725 København V"
"Esbern Snares Gade 4, 2. th, 1725 København V"
"Esbern Snares Gade 4, 2. tv, 1725 København V"
"Esbern Snares Gade 4, 3. th, 1725 København V"
"Esbern Snares Gade 4, 3. tv, 1725 København V"
"Esbern Snares Gade 4, 4. th, 1725 København V"
"Esbern Snares Gade 4, 4. tv, 1725 København V"
"Esbern Snares Gade 5, kl. 1, 1725 København V"
"Esbern Snares Gade 5, kl. 2, 1725 København V"
"Esbern Snares Gade 5, st. th, 1725 København V"
"Esbern Snares Gade 5, st. tv, 1725 København V"
"Esbern Snares Gade 5, 1. th, 1725 København V"
"Esbern Snares Gade 5, 1. tv, 1725 København V"
"Esbern Snares Gade 5, 2. th, 1725 København V"
"Esbern Snares Gade 5, 2. tv, 1725 København V"
"Esbern Snares Gade 5, 3. th, 1725 København V"
"Esbern Snares Gade 5, 3. tv, 1725 København V"
"Esbern Snares Gade 5, 4. th, 1725 København V"
"Esbern Snares Gade 5, 4. tv, 1725 København V"
"Esbern Snares Gade 6, st. th, 1725 København V"
"Esbern Snares Gade 6, st. tv, 1725 København V"
"Esbern Snares Gade 6, 1. th, 1725 København V"
"Esbern Snares Gade 6, 1. tv, 1725 København V"
"Esbern Snares Gade 6, 2. th, 1725 København V"
"Esbern Snares Gade 6, 2. tv, 1725 København V"
"Esbern Snares Gade 16, 1725 København V"
"Esbern Snares Gade 20, st., 1725 København V"
"Esbern Snares Gade 12, st. th, 1725 København V"
"Esbern Snares Gade 22, 1. th, 1725 København V"
