"Saxogade 8, 3. tv, 1662 København V"
"Saxogade 67, 4. 401, 1662 København V"
"Saxogade 8, 4. th, 1662 København V"
"Saxogade 67, 4. 402, 1662 København V"
"Saxogade 8, 4. tv, 1662 København V"
"Saxogade 71, st., 1662 København V"
"Saxogade 8, 5. th, 1662 København V"
"Saxogade 71, st. 1, 1662 København V"
"Saxogade 8, 5. tv, 1662 København V"
"Saxogade 71, 1., 1662 København V"
"Saxogade 9, st. th, 1662 København V"
"Saxogade 71, 2., 1662 København V"
"Saxogade 9, st. tv, 1662 København V"
"Saxogade 71, 3., 1662 København V"
"Saxogade 9, 1. th, 1662 København V"
"Saxogade 71, 4., 1662 København V"
"Saxogade 9, 1. tv, 1662 København V"
"Saxogade 9, 2. th, 1662 København V"
"Saxogade 73, 1., 1662 København V"
"Saxogade 9, 2. tv, 1662 København V"
"Saxogade 73, 3., 1662 København V"
"Saxogade 73, 4., 1662 København V"
"Saxogade 9, 3. th, 1662 København V"
"Saxogade 9, 3. tv, 1662 København V"
"Saxogade 73, 5., 1662 København V"
"Saxogade 9, 4. th, 1662 København V"
"Saxogade 75, st., 1662 København V"
"Saxogade 9, 4. tv, 1662 København V"
"Saxogade 75, 1., 1662 København V"
"Saxogade 16, st. th, 1662 København V"
"Saxogade 75, 2., 1662 København V"
"Saxogade 16, st. tv, 1662 København V"
"Saxogade 75, 3., 1662 København V"
"Saxogade 16, 1. th, 1662 København V"
"Saxogade 75, 4., 1662 København V"
"Saxogade 16, 1. tv, 1662 København V"
"Saxogade 75, 5., 1662 København V"
"Saxogade 16, 2. th, 1662 København V"
"Saxogade 77, st. 1, 1662 København V"
"Saxogade 16, 2. tv, 1662 København V"
"Saxogade 77, st. 2, 1662 København V"
"Saxogade 16, 3. th, 1662 København V"
"Saxogade 16, 3. tv, 1662 København V"
"Saxogade 77, 1. tv, 1662 København V"
"Saxogade 16, 4. th, 1662 København V"
"Saxogade 16, 4. tv, 1662 København V"
"Saxogade 77, 3. th, 1662 København V"
"Saxogade 18, st., 1662 København V"
"Saxogade 77, 3. tv, 1662 København V"
"Saxogade 18, 1., 1662 København V"
"Saxogade 77, 4. th, 1662 København V"
"Saxogade 18, 2., 1662 København V"
"Saxogade 18, 3., 1662 København V"
"Saxogade 77, 5. th, 1662 København V"
"Saxogade 18, 4., 1662 København V"
"Saxogade 77, 5. tv, 1662 København V"
"Saxogade 20, st., 1662 København V"
"Saxogade 81, st. th, 1662 København V"
"Saxogade 20, 1., 1662 København V"
"Saxogade 81, st. tv, 1662 København V"
"Saxogade 25, st. th, 1662 København V"
"Saxogade 81, 1. th, 1662 København V"
"Saxogade 81, 1. tv, 1662 København V"
"Saxogade 25, 1. mf, 1662 København V"
"Saxogade 81, 2. th, 1662 København V"
"Saxogade 25, 1. th, 1662 København V"
"Saxogade 81, 2. tv, 1662 København V"
"Saxogade 25, 1. tv, 1662 København V"
"Saxogade 81, 3., 1662 København V"
"Saxogade 25, 2. mf, 1662 København V"
"Saxogade 81, 4., 1662 København V"
"Saxogade 25, 2. th, 1662 København V"
"Saxogade 81, 5., 1662 København V"
"Saxogade 25, 2. tv, 1662 København V"
"Saxogade 83, st. th, 1662 København V"
"Saxogade 25, 3. mf, 1662 København V"
"Saxogade 83, st. tv, 1662 København V"
"Saxogade 25, 3. th, 1662 København V"
"Saxogade 83, 1., 1662 København V"
"Saxogade 25, 3. tv, 1662 København V"
"Saxogade 83, 2., 1662 København V"
"Saxogade 25, 4. th, 1662 København V"
"Saxogade 83, 3., 1662 København V"
"Saxogade 25, 4. tv, 1662 København V"
"Saxogade 83, 4., 1662 København V"
"Saxogade 27, st., 1662 København V"
"Saxogade 27, 1., 1662 København V"
"Saxogade 84, st., 1662 København V"
"Saxogade 27, 2., 1662 København V"
"Saxogade 84, 1., 1662 København V"
"Saxogade 27, 3., 1662 København V"
"Saxogade 84, 2., 1662 København V"
"Saxogade 27, 4., 1662 København V"
"Saxogade 84, 3., 1662 København V"
"Saxogade 29, st. th, 1662 København V"
"Saxogade 84, 4., 1662 København V"
"Saxogade 29, st. tv, 1662 København V"
"Saxogade 84, 5., 1662 København V"
"Saxogade 29, 1. th, 1662 København V"
"Saxogade 85, st. th, 1662 København V"
"Saxogade 29, 1. tv, 1662 København V"
"Saxogade 85, st. tv, 1662 København V"
"Saxogade 29, 2. th, 1662 København V"
"Saxogade 85, 1., 1662 København V"
"Saxogade 29, 2. tv, 1662 København V"
"Saxogade 85, 2. th, 1662 København V"
"Saxogade 29, 3. th, 1662 København V"
"Saxogade 85, 2. tv, 1662 København V"
"Saxogade 29, 3. tv, 1662 København V"
"Saxogade 85, 3. th, 1662 København V"
"Saxogade 29, 4. th, 1662 København V"
"Saxogade 85, 3. tv, 1662 København V"
"Saxogade 29, 4. tv, 1662 København V"
"Saxogade 85, 4., 1662 København V"
"Saxogade 31, st. th, 1662 København V"
"Saxogade 85, 5., 1662 København V"
"Saxogade 31, st. tv, 1662 København V"
"Saxogade 31, 1. th, 1662 København V"
"Saxogade 31, 1. tv, 1662 København V"
"Saxogade 86, st., 1662 København V"
"Saxogade 31, 2. th, 1662 København V"
"Saxogade 86, 1. th, 1662 København V"
"Saxogade 31, 2. tv, 1662 København V"
"Saxogade 86, 1. tv, 1662 København V"
"Saxogade 31, 3. th, 1662 København V"
"Saxogade 86, 2. tv, 1662 København V"
"Saxogade 31, 3. tv, 1662 København V"
"Saxogade 86, 3., 1662 København V"
"Saxogade 33, st., 1662 København V"
"Saxogade 33, 1. th, 1662 København V"
"Saxogade 33, 1. tv, 1662 København V"
"Saxogade 86, 4., 1662 København V"
"Saxogade 33, 2. th, 1662 København V"
"Saxogade 33, 2. tv, 1662 København V"
"Saxogade 33, 3. th, 1662 København V"
"Saxogade 86, 5., 1662 København V"
"Saxogade 33, 3. tv, 1662 København V"
"Saxogade 88, st. 1, 1662 København V"
"Saxogade 88, st. 2, 1662 København V"
"Saxogade 35, st., 1662 København V"
"Saxogade 35, 1. th, 1662 København V"
"Saxogade 88, 1. th, 1662 København V"
"Saxogade 35, 1. tv, 1662 København V"
"Saxogade 88, 1. tv, 1662 København V"
"Saxogade 35, 2. th, 1662 København V"
"Saxogade 88, 2. th, 1662 København V"
"Saxogade 35, 2. tv, 1662 København V"
"Saxogade 88, 2. tv, 1662 København V"
"Saxogade 35, 3. th, 1662 København V"
"Saxogade 35, 3. tv, 1662 København V"
"Saxogade 37, st. th, 1662 København V"
"Saxogade 88, 4., 1662 København V"
"Saxogade 37, st. tv, 1662 København V"
"Saxogade 88, 5., 1662 København V"
"Saxogade 37, 1. th, 1662 København V"
"Saxogade 90, st. 1, 1662 København V"
"Saxogade 37, 1. tv, 1662 København V"
"Saxogade 90, st. 2, 1662 København V"
"Saxogade 37, 2. th, 1662 København V"
"Saxogade 90, 1. th, 1662 København V"
"Saxogade 37, 2. tv, 1662 København V"
"Saxogade 37, 3. th, 1662 København V"
"Saxogade 90, 2., 1662 København V"
"Saxogade 37, 3. tv, 1662 København V"
"Saxogade 90, 3., 1662 København V"
"Saxogade 39, st. th, 1662 København V"
"Saxogade 90, 4., 1662 København V"
"Saxogade 39, st. tv, 1662 København V"
"Saxogade 39, 1. th, 1662 København V"
"Saxogade 39, 1. tv, 1662 København V"
"Saxogade 90, 5., 1662 København V"
"Saxogade 39, 2. th, 1662 København V"
"Saxogade 92, st. th, 1662 København V"
"Saxogade 39, 2. tv, 1662 København V"
"Saxogade 92, st. tv, 1662 København V"
"Saxogade 39, 3. th, 1662 København V"
"Saxogade 92, 1. th, 1662 København V"
"Saxogade 39, 3. tv, 1662 København V"
"Saxogade 92, 1. tv, 1662 København V"
"Saxogade 39, 4. th, 1662 København V"
"Saxogade 92, 2. th, 1662 København V"
"Saxogade 39, 4. tv, 1662 København V"
"Saxogade 92, 2. tv, 1662 København V"
"Saxogade 41, st. th, 1662 København V"
"Saxogade 92, 3. th, 1662 København V"
"Saxogade 41, st. tv, 1662 København V"
