"Toustrup Stationsvej 31, Toustrup St, 8472 Sporup"
"Gl Skanderborgvej 73, Farre, 8472 Sporup"
"Toustrup Stationsvej 36, Toustrup St, 8472 Sporup"
"Gl Skanderborgvej 74, Farre, 8472 Sporup"
"Toustrup Stationsvej 37, Toustrup, 8472 Sporup"
"Engene 25, Røgen, 8472 Sporup"
"Gl Skanderborgvej 88, Farre, 8472 Sporup"
"Toustrup Stationsvej 38, Toustrup St, 8472 Sporup"
"Engene 35, Røgen, 8472 Sporup"
"Gl Skanderborgvej 91, Farre, 8472 Sporup"
"Toustrup Stationsvej 39, Toustrup, 8472 Sporup"
"Engene 45, Røgen, 8472 Sporup"
"Gl Skanderborgvej 92, Farre, 8472 Sporup"
"Toustrup Stationsvej 41, Toustrup, 8472 Sporup"
"Engene 47, Røgen, 8472 Sporup"
"Gl Skanderborgvej 97, Farre, 8472 Sporup"
"Toustrup Stationsvej 43, Toustrup, 8472 Sporup"
"Gl Skanderborgvej 98, Farre, 8472 Sporup"
"Toustrup Stationsvej 44, Toustrup, 8472 Sporup"
"Gl Skanderborgvej 98A, Farre, 8472 Sporup"
"Toustrup Stationsvej 47, Toustrup, 8472 Sporup"
"Gl Skanderborgvej 99, st. th, Farre, 8472 Sporup"
"Toustrup Stationsvej 49, Toustrup, 8472 Sporup"
"Gl Skanderborgvej 99, st. tv, Farre, 8472 Sporup"
"Toustrup Stationsvej 50, Toustrup, 8472 Sporup"
"Gl Skanderborgvej 100, Farre, 8472 Sporup"
"Toustrup Stationsvej 51, Toustrup, 8472 Sporup"
"Gl Skanderborgvej 102, Farre, 8472 Sporup"
"Toustrup Stationsvej 54, Toustrup, 8472 Sporup"
"Toustrup Stationsvej 55, Toustrup, 8472 Sporup"
"Gl Skanderborgvej 104, Farre, 8472 Sporup"
"Toustrup Stationsvej 56, Toustrup, 8472 Sporup"
"Gl Skanderborgvej 107, Farre, 8472 Sporup"
"Toustrup Stationsvej 60, Toustrup, 8472 Sporup"
"Gl Skanderborgvej 110, Farre, 8472 Sporup"
"Toustrup Stationsvej 64, Toustrup, 8472 Sporup"
"Gl Skanderborgvej 112, Farre, 8472 Sporup"
"Toustrup Stationsvej 68, Toustrup, 8472 Sporup"
"Gl Skanderborgvej 113, Farre, 8472 Sporup"
"Toustrup Stationsvej 72, Toustrup, 8472 Sporup"
"Gl Skanderborgvej 115, st., Farre, 8472 Sporup"
"Gl Skanderborgvej 115, 1., Farre, 8472 Sporup"
"Gl Skanderborgvej 115, 2., Farre, 8472 Sporup"
