"Lærkevej 16, Allested, 5672 Broby"
"Ny Vestergade 72, Vejle, 5672 Broby"
"Rosenvænget 14, Nr Broby, 5672 Broby"
"Spurvelunden 90, Vejle, 5672 Broby"
"Søbyvej 32, Radby, 5672 Broby"
"Vestergade 40, V Hæsinge, 5672 Broby"
"Østergade 91, Allested, 5672 Broby"
"Bobjergvej 6, Allerup, 5672 Broby"
"Fåborgvej 4, Nr Broby, 5672 Broby"
"Karlsbjergvej 39, Sdr Broby, 5672 Broby"
"Lærkevej 17, Allested, 5672 Broby"
"Rosenvænget 16, Nr Broby, 5672 Broby"
"Spurvelunden 92, Vejle, 5672 Broby"
"Søndergade 1, Sh Lyndelse, 5672 Broby"
"Østergade 95, Allested, 5672 Broby"
"Bobjergvej 10, Allerup, 5672 Broby"
"Ellevænget 1, V Hæsinge, 5672 Broby"
"Fåborgvej 6, Nr Broby, 5672 Broby"
"Karlsbjergvej 39A, Sdr Broby, 5672 Broby"
"Lærkevej 18, Allested, 5672 Broby"
"Ny Vestergade 74, Vejle, 5672 Broby"
"Rosenvænget 17, Nr Broby, 5672 Broby"
"Spurvelunden 94, Vejle, 5672 Broby"
"Søndergade 2, Sh Lyndelse, 5672 Broby"
"Vestergade 42, V Hæsinge, 5672 Broby"
"Østergade 97, Allested, 5672 Broby"
"Allerupgyden 1, Vøjstrup, 5672 Broby"
"Brandholmvej 1, Ståby, 5672 Broby"
"Ellevænget 2, V Hæsinge, 5672 Broby"
"Fåborgvej 7, Nr Broby, 5672 Broby"
"Karlsbjergvej 39B, Sdr Broby, 5672 Broby"
"Lærkevej 19, Allested, 5672 Broby"
"Ny Vestergade 76, Vejle, 5672 Broby"
"Rosenvænget 19, Nr Broby, 5672 Broby"
"Spurvelunden 96, Vejle, 5672 Broby"
"Søndergade 3, Sh Lyndelse, 5672 Broby"
"Vestergade 43, V Hæsinge, 5672 Broby"
"Østergade 98, st., Allested, 5672 Broby"
"Allerupgyden 9, Nr Broby, 5672 Broby"
"Brandholmvej 1A, Ståby, 5672 Broby"
"Ellevænget 3, V Hæsinge, 5672 Broby"
"Fåborgvej 8, Nr Broby, 5672 Broby"
"Karlsbjergvej 39C, Sdr Broby, 5672 Broby"
"Lærkevej 20, Allested, 5672 Broby"
"Nørregade 1, Sh Lyndelse, 5672 Broby"
"Rosenvænget 21, Nr Broby, 5672 Broby"
"Spurvelunden 98, Vejle, 5672 Broby"
"Vestergade 44, V Hæsinge, 5672 Broby"
"Østergade 98, st. th, Allested, 5672 Broby"
"Ellevænget 4, V Hæsinge, 5672 Broby"
"Brandholmvej 2, Ståby, 5672 Broby"
"Fåborgvej 10, Nr Broby, 5672 Broby"
"Karlsbjergvej 39D, Sdr Broby, 5672 Broby"
"Lærkevej 21, Allested, 5672 Broby"
"Nørregade 2, Sh Lyndelse, 5672 Broby"
"Rosenvænget 23, Nr Broby, 5672 Broby"
"Spurvelunden 100, Vejle, 5672 Broby"
"Søndergade 5, Sh Lyndelse, 5672 Broby"
"Vestergade 45, V Hæsinge, 5672 Broby"
"Østergade 98, 1., Allested, 5672 Broby"
