"Platanvej 5, 2. 75, 1810 Frederiksberg C"
"Platanvej 18, 4. 25, 1810 Frederiksberg C"
"Platanvej 32, 4. 20, 1810 Frederiksberg C"
"Platanvej 5, 2. 76, 1810 Frederiksberg C"
"Platanvej 18, 4. 26, 1810 Frederiksberg C"
"Platanvej 32, 4. 21, 1810 Frederiksberg C"
"Platanvej 5, 3. 77, 1810 Frederiksberg C"
"Platanvej 18, 4. 27, 1810 Frederiksberg C"
"Platanvej 32, 4. 22, 1810 Frederiksberg C"
"Platanvej 5, 3. 78, 1810 Frederiksberg C"
"Platanvej 18, 4. 28, 1810 Frederiksberg C"
"Platanvej 32, 4. 23, 1810 Frederiksberg C"
"Platanvej 5, 3. 79, 1810 Frederiksberg C"
"Platanvej 18, 4. 29, 1810 Frederiksberg C"
"Platanvej 32, 4. 24, 1810 Frederiksberg C"
"Platanvej 5, 3. 80, 1810 Frederiksberg C"
"Platanvej 19, st. mf, 1810 Frederiksberg C"
"Platanvej 32, 5. 25, 1810 Frederiksberg C"
"Platanvej 5, 3. 81, 1810 Frederiksberg C"
"Platanvej 19, st. th, 1810 Frederiksberg C"
"Platanvej 32, 5. 26, 1810 Frederiksberg C"
"Platanvej 5, 3. 82, 1810 Frederiksberg C"
"Platanvej 19, st. tv, 1810 Frederiksberg C"
"Platanvej 32, 5. 27, 1810 Frederiksberg C"
"Platanvej 5, 3. 83, 1810 Frederiksberg C"
"Platanvej 19, 1. mf, 1810 Frederiksberg C"
"Platanvej 32, 5. 28, 1810 Frederiksberg C"
"Platanvej 5, 4. 84, 1810 Frederiksberg C"
"Platanvej 19, 1. th, 1810 Frederiksberg C"
"Platanvej 32, 5. 29, 1810 Frederiksberg C"
"Platanvej 19, 1. tv, 1810 Frederiksberg C"
"Platanvej 32, 5. 30, 1810 Frederiksberg C"
"Platanvej 5, 4. 86, 1810 Frederiksberg C"
"Platanvej 19, 2. mf, 1810 Frederiksberg C"
"Platanvej 5, 4. 87, 1810 Frederiksberg C"
"Platanvej 5, 4. 88, 1810 Frederiksberg C"
"Platanvej 19, 2. tv, 1810 Frederiksberg C"
"Platanvej 5, 4. 89, 1810 Frederiksberg C"
"Platanvej 19, 3. mf, 1810 Frederiksberg C"
"Platanvej 5, 4. 90, 1810 Frederiksberg C"
"Platanvej 19, 3. th, 1810 Frederiksberg C"
"Platanvej 5, 5. 91, 1810 Frederiksberg C"
"Platanvej 19, 3. tv, 1810 Frederiksberg C"
"Platanvej 5, 5. 92, 1810 Frederiksberg C"
"Platanvej 21, st. th, 1810 Frederiksberg C"
"Platanvej 5, 5. 93, 1810 Frederiksberg C"
"Platanvej 21, st. tv, 1810 Frederiksberg C"
"Platanvej 5, 5. 94, 1810 Frederiksberg C"
"Platanvej 21, 1. mf, 1810 Frederiksberg C"
"Platanvej 6, st. 1, 1810 Frederiksberg C"
"Platanvej 21, 1. th, 1810 Frederiksberg C"
